Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,2,0,0
8 days,4,0,0
9 days,5,0,0
10 days,8,0,0
11 days,8,0,0
12 days,9,0,0
13 days,7,0,0
14 days,9,0,0
15 days,11,0,1
16 days,21,1,1
17 days,24,0,1
18 days,30,1,0
19 days,22,1,1
20 days,24,1,3
21 days,21,1,3
22 days,28,0,2
23 days,25,0,1
24 days,29,1,1
25 days,27,1,1
26 days,36,2,4
27 days,46,1,4
28 days,55,2,3
29 days,56,1,8
30 days,54,1,17
31 days,51,1,21
32 days,54,2,23
33 days,49,2,18
34 days,48,2,20
35 days,45,2,17
36 days,52,3,20
37 days,57,3,25
38 days,58,2,28
39 days,55,2,31
40 days,50,2,27
41 days,51,2,29
