Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,1.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,8.0,0.0,0.0
5 days,12.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,7.0,0.0,0.0
8 days,13.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,18.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,17.0,0.0,0.0
13 days,11.0,1.0,3.0
14 days,21.0,0.0,0.0
15 days,8.0,2.0,0.0
16 days,8.0,0.0,0.0
17 days,14.0,0.0,1.0
18 days,16.0,2.0,11.0
19 days,17.0,0.0,0.0
20 days,35.0,0.0,0.0
21 days,16.0,2.0,7.0
22 days,32.0,1.0,1.0
23 days,58.0,1.0,5.0
24 days,36.0,0.0,0.0
25 days,40.0,0.0,0.0
26 days,30.0,0.0,5.0
27 days,20.0,0.0,4.0
28 days,19.0,0.0,8.0
29 days,29.0,0.0,2.0
30 days,32.0,0.0,5.0
31 days,38.0,1.0,1.0
32 days,31.0,0.0,5.0
33 days,21.0,0.0,3.0
34 days,17.0,1.0,4.0
35 days,29.0,1.0,0.0
36 days,33.0,0.0,0.0
37 days,20.0,0.0,0.0
38 days,20.0,0.0,12.0
39 days,15.0,0.0,0.0
40 days,11.0,0.0,2.0
41 days,6.0,0.0,2.0
42 days,5.0,0.0,0.0
43 days,12.0,0.0,17.0
44 days,6.0,1.0,0.0
