Dates,Infected,Dead,Recovered
1 days,2,0,0
2 days,1,0,0
3 days,4,0,0
4 days,7,0,0
5 days,7,0,0
6 days,6,0,0
7 days,7,0,0
8 days,8,0,0
9 days,11,0,0
10 days,7,0,0
11 days,12,0,0
12 days,9,0,1
13 days,16,0,1
14 days,13,1,1
15 days,12,1,0
16 days,10,1,0
17 days,13,1,4
18 days,16,1,4
19 days,23,1,4
20 days,23,1,2
21 days,28,1,3
22 days,35,1,4
23 days,42,1,2
24 days,45,0,2
25 days,35,0,2
26 days,30,0,3
27 days,23,0,6
28 days,23,0,5
29 days,27,0,5
30 days,33,0,3
31 days,34,0,4
32 days,30,0,3
33 days,23,0,4
34 days,22,1,2
35 days,26,1,1
36 days,27,0,0
37 days,24,0,4
38 days,18,0,4
39 days,15,0,5
40 days,11,0,1
41 days,7,0,1
42 days,8,0,6
43 days,8,0,6
44 days,8,0,6
45 days,7,1,0
46 days,7,0,17
47 days,7,0,17
48 days,6,0,17
49 days,9,0,0
50 days,9,0,0
51 days,9,0,49
52 days,7,0,49
53 days,7,0,49
54 days,7,0,0
55 days,6,0,0
56 days,5,0,0
57 days,4,0,0
58 days,5,0,35
59 days,4,0,35
60 days,3,0,35
61 days,3,0,0
62 days,3,0,0
63 days,4,0,16
64 days,2,0,16
