Dates,Infected,Dead,Recovered
0 days,3.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,3.0,0.0,0.0
4 days,4.0,0.0,0.0
5 days,6.0,0.0,0.0
6 days,1.0,0.0,0.0
7 days,12.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,10.0,0.0,0.0
10 days,50.0,0.0,0.0
11 days,3.0,0.0,0.0
12 days,47.0,0.0,0.0
13 days,48.0,0.0,0.0
14 days,64.0,0.0,0.0
15 days,45.0,0.0,3.0
16 days,98.0,0.0,0.0
17 days,68.0,0.0,0.0
18 days,230.0,0.0,0.0
19 days,139.0,0.0,1.0
20 days,162.0,0.0,2.0
21 days,125.0,1.0,0.0
22 days,116.0,0.0,0.0
23 days,158.0,2.0,4.0
24 days,260.0,3.0,0.0
25 days,271.0,3.0,0.0
26 days,354.0,0.0,1.0
27 days,352.0,2.0,0.0
28 days,186.0,5.0,0.0
29 days,184.0,7.0,14.0
30 days,307.0,8.0,20.0
31 days,200.0,8.0,16.0
32 days,350.0,5.0,6.0
33 days,233.0,9.0,5.0
34 days,381.0,6.0,6.0
35 days,115.0,8.0,18.0
36 days,235.0,11.0,25.0
37 days,195.0,10.0,51.0
38 days,295.0,11.0,61.0
39 days,257.0,13.0,68.0
40 days,163.0,7.0,45.0
41 days,99.0,10.0,65.0
42 days,160.0,9.0,53.0
43 days,68.0,5.0,55.0
44 days,52.0,18.0,123.0
45 days,105.0,5.0,177.0
46 days,217.0,3.0,153.0
47 days,116.0,4.0,202.0
48 days,57.0,8.0,53.0
49 days,140.0,5.0,71.0
50 days,154.0,8.0,261.0
51 days,133.0,7.0,194.0
52 days,99.0,7.0,236.0
53 days,55.0,2.0,163.0
54 days,86.0,4.0,219.0
55 days,79.0,4.0,82.0
56 days,52.0,2.0,92.0
57 days,41.0,3.0,281.0
58 days,59.0,4.0,122.0
59 days,75.0,0.0,160.0
60 days,103.0,9.0,206.0
61 days,55.0,4.0,58.0
62 days,18.0,5.0,89.0
63 days,26.0,3.0,126.0
64 days,38.0,4.0,220.0
65 days,77.0,5.0,199.0
66 days,78.0,5.0,199.0
67 days,57.0,8.0,166.0
68 days,46.0,3.0,42.0
69 days,18.0,3.0,34.0
70 days,28.0,4.0,27.0
71 days,53.0,2.0,237.0
72 days,45.0,1.0,178.0
73 days,48.0,7.0,158.0
