Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,2,0,0
4 days,3,0,0
5 days,4,0,0
6 days,4,0,0
7 days,6,0,0
8 days,4,0,0
9 days,7,0,0
10 days,20,0,0
11 days,21,0,0
12 days,33,0,0
13 days,33,0,0
14 days,53,0,0
15 days,52,0,1
16 days,69,0,1
17 days,70,0,1
18 days,132,0,0
19 days,146,0,0
20 days,177,0,1
21 days,142,0,1
22 days,134,0,1
23 days,133,1,1
24 days,178,2,1
25 days,230,3,1
26 days,295,2,0
27 days,326,2,0
28 days,297,2,0
29 days,241,5,5
30 days,226,7,11
31 days,230,8,17
32 days,286,7,14
33 days,261,7,9
34 days,321,7,6
35 days,243,8,10
36 days,244,8,16
37 days,182,10,31
38 days,242,11,46
39 days,249,11,60
40 days,238,10,58
41 days,173,10,59
42 days,141,9,54
43 days,109,8,58
44 days,93,11,77
45 days,75,9,118
46 days,125,9,151
47 days,146,4,177
48 days,130,5,136
49 days,104,6,109
50 days,117,7,128
51 days,142,7,175
52 days,129,7,230
