Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,5.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,13.0,0.0,1.0
9 days,0.0,0.0,0.0
10 days,13.0,0.0,0.0
11 days,55.0,0.0,0.0
12 days,172.0,0.0,0.0
13 days,180.0,0.0,0.0
14 days,173.0,0.0,0.0
15 days,187.0,0.0,0.0
16 days,32.0,1.0,0.0
17 days,39.0,1.0,0.0
18 days,58.0,1.0,0.0
19 days,92.0,1.0,0.0
20 days,91.0,0.0,0.0
21 days,109.0,2.0,0.0
22 days,112.0,3.0,0.0
23 days,83.0,4.0,0.0
24 days,94.0,0.0,0.0
25 days,58.0,11.0,0.0
26 days,146.0,8.0,35.0
27 days,144.0,2.0,5.0
28 days,161.0,7.0,9.0
29 days,177.0,11.0,7.0
30 days,166.0,13.0,0.0
31 days,198.0,7.0,16.0
32 days,191.0,5.0,0.0
33 days,284.0,13.0,4.0
34 days,251.0,14.0,894.0
35 days,283.0,19.0,201.0
36 days,373.0,16.0,115.0
37 days,323.0,22.0,92.0
38 days,292.0,18.0,50.0
39 days,314.0,8.0,60.0
40 days,391.0,16.0,132.0
41 days,331.0,15.0,142.0
42 days,233.0,19.0,120.0
43 days,184.0,10.0,46.0
44 days,177.0,13.0,182.0
45 days,178.0,13.0,180.0
46 days,144.0,12.0,112.0
47 days,193.0,14.0,286.0
48 days,170.0,10.0,236.0
49 days,198.0,12.0,278.0
50 days,194.0,15.0,368.0
51 days,169.0,10.0,460.0
52 days,143.0,9.0,297.0
53 days,131.0,9.0,171.0
54 days,180.0,6.0,390.0
55 days,217.0,14.0,387.0
