Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,2,0,0
7 days,2,0,0
8 days,6,0,0
9 days,4,0,0
10 days,9,0,0
11 days,23,0,0
12 days,80,0,0
13 days,136,0,0
14 days,175,0,0
15 days,180,0,0
16 days,131,0,0
17 days,86,1,0
18 days,43,1,0
19 days,63,1,0
20 days,80,1,0
21 days,97,1,0
22 days,104,2,0
23 days,101,3,0
24 days,96,2,0
25 days,78,5,0
26 days,99,6,12
27 days,116,7,13
28 days,150,6,16
29 days,161,7,7
30 days,168,10,5
31 days,180,10,8
32 days,185,8,5
33 days,224,8,7
34 days,242,11,299
35 days,273,15,366
36 days,302,16,403
37 days,326,19,136
38 days,329,19,86
39 days,310,16,67
40 days,332,14,81
41 days,345,13,111
42 days,318,17,131
43 days,249,15,103
44 days,198,14,116
45 days,180,12,136
46 days,166,13,158
47 days,172,13,193
48 days,169,12,211
49 days,187,12,267
50 days,187,12,294
51 days,187,12,369
52 days,169,11,375
53 days,148,9,309
54 days,151,8,286
55 days,176,10,316
