Dates,Infected,Dead,Recovered
2 days,21,0,0
3 days,25,0,0
4 days,25,0,0
5 days,37,0,0
6 days,13,0,0
7 days,28,0,0
8 days,37,0,0
9 days,60,0,0
10 days,79,0,0
11 days,86,0,0
12 days,89,0,0
13 days,60,1,0
14 days,31,1,0
15 days,4,1,0
16 days,19,0,0
17 days,19,0,0
18 days,19,0,0
19 days,5,0,3
20 days,5,0,3
21 days,5,1,3
22 days,0,1,0
23 days,0,1,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,10
29 days,0,0,10
30 days,0,0,10
31 days,0,0,0
32 days,0,0,0
33 days,0,0,95
34 days,0,0,95
35 days,0,0,95
36 days,0,0,0
37 days,0,0,0
38 days,0,0,0
39 days,0,0,0
40 days,2,0,0
41 days,2,0,0
42 days,2,0,0
43 days,0,0,0
44 days,0,0,0
45 days,0,0,0
46 days,0,1,0
47 days,0,1,87
48 days,0,1,91
49 days,0,0,91
50 days,0,0,3
51 days,0,0,2
52 days,0,0,2
53 days,0,0,2
54 days,0,0,0
55 days,0,0,5
56 days,0,0,5
57 days,0,0,5
58 days,0,0,0
59 days,0,0,0
60 days,0,0,0
61 days,0,0,0
62 days,0,0,0
63 days,0,0,0
64 days,0,0,0
65 days,0,0,0
66 days,0,0,0
67 days,0,0,7
68 days,0,0,7
69 days,0,0,8
70 days,0,0,2
71 days,0,0,2
72 days,0,0,0
73 days,0,0,0
74 days,0,0,0
75 days,0,0,0
76 days,0,0,0
77 days,0,0,0
78 days,0,0,0
79 days,0,0,0
80 days,0,0,0
81 days,0,0,0
82 days,0,0,0
83 days,0,0,0
84 days,0,0,0
85 days,0,0,0
86 days,0,0,0
87 days,0,0,0
88 days,0,0,0
