Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,3,0,0
7 days,3,0,0
8 days,3,0,0
9 days,1,0,0
10 days,2,0,0
11 days,2,0,0
12 days,5,0,0
13 days,5,0,0
14 days,7,0,0
15 days,6,0,3
16 days,6,0,3
17 days,6,0,3
18 days,14,0,0
19 days,13,0,0
20 days,25,0,5
21 days,15,0,5
22 days,20,0,9
23 days,17,1,4
24 days,26,1,4
25 days,49,0,2
26 days,59,0,6
27 days,74,0,12
28 days,98,0,11
29 days,123,0,8
30 days,99,0,2
31 days,85,0,10
32 days,38,0,9
33 days,71,0,12
34 days,43,0,27
35 days,47,0,50
36 days,18,0,73
37 days,11,0,63
38 days,12,0,53
39 days,12,0,49
40 days,21,0,42
41 days,18,0,63
42 days,18,0,55
43 days,8,0,58
44 days,12,0,29
45 days,8,0,15
46 days,6,0,14
47 days,3,0,20
48 days,4,0,23
49 days,6,0,29
50 days,5,0,26
51 days,22,0,26
52 days,26,0,16
53 days,31,0,16
54 days,22,0,17
55 days,19,0,18
