Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,3.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,6.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,10.0,1.0,0.0
17 days,0.0,0.0,0.0
18 days,13.0,1.0,0.0
19 days,38.0,0.0,0.0
20 days,40.0,0.0,0.0
21 days,90.0,1.0,0.0
22 days,43.0,0.0,0.0
23 days,67.0,3.0,3.0
24 days,80.0,4.0,0.0
25 days,96.0,0.0,0.0
26 days,93.0,10.0,0.0
27 days,138.0,8.0,0.0
28 days,140.0,11.0,0.0
29 days,42.0,3.0,1.0
30 days,208.0,9.0,1.0
31 days,175.0,6.0,4.0
32 days,96.0,3.0,7.0
33 days,108.0,8.0,0.0
34 days,0.0,0.0,0.0
35 days,257.0,14.0,1.0
36 days,83.0,4.0,16.0
37 days,128.0,12.0,3.0
38 days,155.0,10.0,14.0
39 days,238.0,10.0,30.0
40 days,271.0,8.0,18.0
41 days,139.0,9.0,10.0
42 days,208.0,38.0,23.0
43 days,200.0,4.0,21.0
44 days,119.0,6.0,10.0
45 days,328.0,6.0,46.0
46 days,141.0,7.0,7.0
47 days,371.0,4.0,53.0
48 days,209.0,17.0,44.0
49 days,345.0,9.0,51.0
50 days,284.0,9.0,53.0
51 days,80.0,10.0,47.0
52 days,256.0,15.0,118.0
53 days,243.0,5.0,0.0
54 days,206.0,2.0,182.0
55 days,177.0,6.0,59.0
56 days,209.0,5.0,88.0
57 days,158.0,4.0,83.0
58 days,123.0,4.0,172.0
59 days,236.0,7.0,63.0
60 days,320.0,8.0,73.0
61 days,316.0,12.0,86.0
62 days,290.0,13.0,94.0
63 days,376.0,7.0,125.0
64 days,281.0,13.0,165.0
65 days,245.0,8.0,134.0
66 days,327.0,8.0,55.0
67 days,288.0,11.0,104.0
68 days,281.0,7.0,222.0
69 days,506.0,5.0,298.0
70 days,465.0,3.0,179.0
71 days,287.0,5.0,107.0
72 days,266.0,9.0,351.0
73 days,296.0,7.0,0.0
