Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,1,0,0
8 days,1,0,0
9 days,1,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,2,0,0
14 days,2,0,0
15 days,2,0,0
16 days,3,0,0
17 days,3,0,0
18 days,8,1,0
19 days,17,0,0
20 days,30,0,0
21 days,56,0,0
22 days,58,0,0
23 days,67,1,1
24 days,63,2,1
25 days,81,2,1
26 days,90,5,0
27 days,109,6,0
28 days,124,10,0
29 days,107,7,0
30 days,130,8,1
31 days,142,6,2
32 days,160,6,4
33 days,126,6,4
34 days,68,4,2
35 days,122,7,0
36 days,113,6,6
37 days,156,10,7
38 days,122,9,11
39 days,174,11,16
40 days,221,9,21
41 days,216,9,19
42 days,206,18,17
43 days,182,17,18
44 days,176,16,18
45 days,216,5,26
46 days,196,6,21
47 days,280,6,35
48 days,240,9,35
49 days,308,10,49
50 days,279,12,49
51 days,236,9,50
52 days,207,11,73
53 days,193,10,55
54 days,235,7,100
55 days,209,4,80
56 days,197,4,110
57 days,181,5,77
58 days,163,4,114
59 days,172,5,106
60 days,226,6,103
61 days,291,9,74
62 days,309,11,84
63 days,327,11,102
64 days,316,11,128
65 days,301,9,141
