Dates,Infected,Dead,Recovered
0 days,6.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,3.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,11.0,2.0,0.0
14 days,0.0,0.0,0.0
15 days,9.0,0.0,0.0
16 days,21.0,0.0,0.0
17 days,53.0,0.0,0.0
18 days,88.0,1.0,0.0
19 days,168.0,2.0,0.0
20 days,139.0,2.0,3.0
21 days,283.0,7.0,0.0
22 days,192.0,4.0,0.0
23 days,101.0,9.0,0.0
24 days,91.0,1.0,0.0
25 days,230.0,6.0,0.0
26 days,192.0,2.0,0.0
27 days,228.0,12.0,0.0
28 days,101.0,10.0,0.0
29 days,38.0,2.0,0.0
30 days,278.0,15.0,51.0
31 days,508.0,18.0,4.0
32 days,415.0,27.0,7.0
33 days,205.0,25.0,0.0
34 days,97.0,27.0,35.0
35 days,181.0,8.0,0.0
36 days,101.0,11.0,0.0
37 days,0.0,0.0,0.0
38 days,703.0,51.0,40.0
39 days,515.0,30.0,199.0
40 days,2196.0,25.0,29.0
41 days,96.0,18.0,43.0
42 days,209.0,18.0,90.0
43 days,63.0,22.0,96.0
44 days,74.0,14.0,99.0
45 days,255.0,19.0,84.0
46 days,367.0,15.0,58.0
47 days,225.0,18.0,0.0
48 days,572.0,35.0,170.0
49 days,446.0,18.0,53.0
50 days,660.0,33.0,89.0
51 days,270.0,13.0,57.0
52 days,452.0,17.0,55.0
53 days,333.0,23.0,66.0
54 days,11536.0,16.0,38.0
55 days,0.0,0.0,0.0
56 days,0.0,0.0,0.0
57 days,521.0,87.0,191.0
58 days,1018.0,208.0,0.0
59 days,417.0,12.0,0.0
60 days,259.0,17.0,1.0
61 days,1402.0,163.0,355.0
62 days,1128.0,308.0,219.0
63 days,1354.0,193.0,1168.0
64 days,0.0,5.0,133.0
65 days,0.0,0.0,0.0
66 days,0.0,49.0,0.0
67 days,0.0,36.0,0.0
68 days,0.0,50.0,0.0
69 days,253.0,13.0,0.0
70 days,438.0,410.0,0.0
71 days,0.0,18.0,0.0
72 days,910.0,182.0,0.0
73 days,67.0,7.0,0.0
