Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,4,0,0
22 days,4,0,0
23 days,15,0,0
24 days,13,0,0
25 days,15,0,0
26 days,4,0,7
27 days,4,0,7
28 days,7,0,7
29 days,16,0,0
30 days,14,0,0
31 days,23,0,2
32 days,29,1,4
33 days,29,1,4
34 days,35,1,2
35 days,30,1,2
36 days,33,1,3
37 days,24,3,8
38 days,27,4,6
39 days,36,3,13
40 days,43,2,13
41 days,43,2,15
42 days,45,3,12
43 days,40,5,9
44 days,38,5,10
45 days,40,4,11
46 days,45,3,12
47 days,57,4,16
48 days,70,6,17
49 days,92,7,20
50 days,97,6,21
51 days,103,7,15
52 days,112,6,14
53 days,127,8,12
54 days,129,8,19
55 days,126,11,30
56 days,115,14,36
57 days,126,14,40
58 days,122,14,80
59 days,132,10,68
60 days,137,11,54
61 days,147,8,0
62 days,161,11,2
63 days,165,9,19
64 days,176,14,37
65 days,157,14,45
66 days,163,15,58
67 days,153,13,56
68 days,172,12,68
