Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,2,0,0
7 days,3,0,0
8 days,3,0,0
9 days,3,0,0
10 days,4,0,0
11 days,6,0,0
12 days,4,0,0
13 days,3,0,0
14 days,4,1,0
15 days,5,0,0
16 days,8,1,1
17 days,7,0,1
18 days,8,1,2
19 days,7,0,1
20 days,10,1,2
21 days,11,1,3
22 days,13,1,3
23 days,8,0,3
24 days,7,0,2
25 days,7,0,2
26 days,10,0,2
27 days,11,0,3
28 days,9,0,4
29 days,9,0,4
30 days,10,0,4
31 days,12,0,4
32 days,14,0,3
33 days,12,0,2
34 days,12,0,6
35 days,11,0,7
36 days,16,0,9
37 days,12,0,4
38 days,16,0,5
39 days,16,0,5
40 days,24,0,7
41 days,26,0,8
42 days,24,1,10
43 days,26,1,9
44 days,23,1,12
45 days,32,0,12
46 days,44,1,19
47 days,47,1,21
