Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,7.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,2.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,63.0,0.0,0.0
16 days,36.0,0.0,0.0
17 days,56.0,0.0,1.0
18 days,34.0,0.0,0.0
19 days,20.0,0.0,0.0
20 days,33.0,0.0,0.0
21 days,9.0,0.0,0.0
22 days,16.0,0.0,0.0
23 days,23.0,0.0,0.0
24 days,20.0,0.0,1.0
25 days,26.0,0.0,0.0
26 days,17.0,0.0,5.0
27 days,35.0,1.0,1.0
28 days,134.0,0.0,0.0
29 days,37.0,0.0,3.0
30 days,70.0,0.0,9.0
31 days,34.0,2.0,0.0
32 days,36.0,0.0,0.0
33 days,30.0,1.0,6.0
34 days,34.0,1.0,7.0
35 days,79.0,6.0,12.0
36 days,103.0,1.0,3.0
37 days,78.0,1.0,11.0
38 days,58.0,2.0,3.0
39 days,11.0,4.0,0.0
40 days,41.0,2.0,7.0
41 days,36.0,3.0,3.0
42 days,22.0,0.0,11.0
43 days,51.0,0.0,10.0
44 days,46.0,0.0,0.0
45 days,5.0,1.0,5.0
46 days,23.0,3.0,4.0
47 days,41.0,3.0,13.0
48 days,27.0,4.0,2.0
49 days,34.0,1.0,16.0
50 days,25.0,2.0,12.0
51 days,53.0,0.0,17.0
52 days,16.0,2.0,2.0
53 days,7.0,0.0,1.0
54 days,17.0,3.0,4.0
55 days,7.0,1.0,15.0
56 days,33.0,1.0,8.0
57 days,13.0,1.0,14.0
58 days,30.0,0.0,22.0
59 days,8.0,3.0,5.0
60 days,4.0,1.0,0.0
61 days,13.0,0.0,3.0
62 days,6.0,0.0,0.0
63 days,23.0,2.0,13.0
64 days,5.0,0.0,4.0
65 days,5.0,1.0,3.0
66 days,1.0,2.0,3.0
67 days,3.0,0.0,0.0
68 days,8.0,0.0,2.0
69 days,2.0,0.0,3.0
70 days,7.0,1.0,9.0
71 days,5.0,0.0,431.0
72 days,8.0,4.0,43.0
73 days,6.0,0.0,3.0
74 days,2.0,1.0,1.0
75 days,5.0,0.0,26.0
76 days,5.0,0.0,0.0
