Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,1,0,0
8 days,3,0,0
9 days,3,0,0
10 days,2,0,0
11 days,0,0,0
12 days,1,0,0
13 days,2,0,0
14 days,2,0,0
15 days,22,0,0
16 days,33,0,0
17 days,52,0,0
18 days,42,0,0
19 days,37,0,0
20 days,29,0,0
21 days,21,0,0
22 days,19,0,0
23 days,16,0,0
24 days,20,0,0
25 days,23,0,0
26 days,21,0,2
27 days,26,0,2
28 days,62,0,2
29 days,69,0,1
30 days,80,0,4
31 days,47,1,4
32 days,47,1,3
33 days,33,1,2
34 days,33,1,4
35 days,48,3,8
36 days,72,3,7
37 days,87,3,9
38 days,80,1,6
39 days,49,2,5
40 days,37,3,3
41 days,29,3,3
42 days,33,2,7
43 days,36,1,8
44 days,40,0,7
45 days,34,0,5
46 days,25,1,3
47 days,23,2,7
48 days,30,3,6
49 days,34,3,10
50 days,29,2,10
51 days,37,1,15
52 days,31,1,10
53 days,25,1,7
54 days,13,2,2
55 days,10,1,7
56 days,19,2,9
57 days,18,1,12
58 days,25,1,15
59 days,17,1,14
60 days,14,1,9
61 days,8,1,3
62 days,8,0,1
63 days,14,1,5
64 days,11,1,6
65 days,11,1,7
66 days,4,1,3
67 days,3,1,2
68 days,4,1,2
