Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,1,0,0
9 days,1,0,0
10 days,1,0,0
11 days,0,0,0
12 days,1,0,0
13 days,2,0,0
14 days,2,0,0
15 days,1,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,1
24 days,0,0,1
25 days,1,0,2
26 days,1,0,1
27 days,1,0,1
28 days,0,0,0
29 days,1,0,0
30 days,1,0,0
31 days,1,0,0
32 days,0,0,0
33 days,0,0,0
34 days,0,0,0
35 days,2,0,0
36 days,2,0,0
37 days,3,0,0
38 days,3,0,0
39 days,3,0,0
40 days,2,0,0
41 days,2,0,1
42 days,8,0,1
43 days,9,0,1
44 days,10,0,0
45 days,5,0,0
46 days,11,0,0
47 days,12,0,1
48 days,12,0,1
49 days,6,0,1
50 days,4,0,0
51 days,3,0,0
52 days,4,0,0
