Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,1,0,0
4 days,1,0,0
5 days,2,0,0
6 days,0,0,0
7 days,1,0,0
8 days,1,0,0
9 days,2,0,0
10 days,1,0,0
11 days,1,0,0
12 days,0,0,0
13 days,0,0,0
14 days,1,0,0
15 days,1,0,0
16 days,3,0,0
17 days,2,0,1
18 days,3,0,0
19 days,3,0,0
20 days,2,0,0
21 days,3,0,0
22 days,3,0,1
23 days,5,1,0
24 days,3,1,0
25 days,5,1,0
26 days,4,0,0
27 days,4,0,0
28 days,4,0,0
29 days,5,0,2
30 days,5,0,2
31 days,3,0,3
32 days,4,0,1
33 days,5,0,2
34 days,6,0,0
35 days,5,0,0
36 days,7,0,0
37 days,5,0,0
38 days,5,0,0
39 days,3,0,0
40 days,3,0,2
41 days,2,0,2
42 days,1,0,3
43 days,2,0,3
44 days,2,0,7
45 days,2,0,8
46 days,1,0,7
47 days,2,0,6
48 days,2,0,3
49 days,2,0,5
50 days,1,0,4
51 days,1,0,5
52 days,2,0,3
53 days,4,0,7
