Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,1.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,1.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,1.0,0.0,0.0
32 days,3.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,0.0,0.0,0.0
35 days,0.0,0.0,0.0
36 days,6.0,0.0,0.0
37 days,3.0,0.0,0.0
38 days,0.0,0.0,0.0
39 days,8.0,0.0,0.0
40 days,7.0,0.0,0.0
41 days,10.0,0.0,0.0
42 days,19.0,0.0,0.0
43 days,0.0,0.0,0.0
44 days,96.0,0.0,0.0
45 days,70.0,0.0,0.0
46 days,19.0,0.0,9.0
47 days,33.0,0.0,0.0
48 days,44.0,0.0,0.0
49 days,15.0,0.0,0.0
50 days,64.0,0.0,0.0
51 days,50.0,0.0,0.0
52 days,73.0,1.0,0.0
53 days,103.0,0.0,0.0
54 days,74.0,0.0,0.0
55 days,92.0,0.0,0.0
56 days,88.0,2.0,0.0
57 days,78.0,2.0,0.0
58 days,83.0,2.0,0.0
59 days,126.0,2.0,0.0
60 days,73.0,2.0,0.0
61 days,112.0,2.0,0.0
62 days,66.0,4.0,0.0
63 days,28.0,0.0,0.0
64 days,72.0,2.0,290.0
65 days,97.0,1.0,0.0
66 days,267.0,5.0,0.0
67 days,45.0,2.0,0.0
68 days,249.0,0.0,0.0
69 days,132.0,7.0,0.0
70 days,179.0,6.0,0.0
71 days,118.0,2.0,0.0
72 days,164.0,6.0,0.0
73 days,136.0,1.0,0.0
74 days,69.0,7.0,0.0
75 days,90.0,3.0,0.0
76 days,97.0,5.0,0.0
77 days,76.0,8.0,0.0
78 days,132.0,3.0,1400.0
79 days,120.0,7.0,0.0
80 days,192.0,8.0,0.0
81 days,102.0,4.0,0.0
82 days,85.0,4.0,300.0
83 days,146.0,43.0,0.0
84 days,115.0,8.0,0.0
85 days,155.0,23.0,0.0
86 days,111.0,5.0,500.0
87 days,80.0,9.0,0.0
88 days,101.0,4.0,0.0
89 days,119.0,3.0,0.0
90 days,45.0,6.0,300.0
91 days,166.0,7.0,0.0
92 days,89.0,5.0,200.0
93 days,56.0,7.0,0.0
94 days,125.0,2.0,0.0
95 days,78.0,10.0,0.0
96 days,73.0,10.0,500.0
97 days,85.0,6.0,0.0
98 days,161.0,6.0,0.0
99 days,100.0,3.0,0.0
100 days,65.0,5.0,500.0
101 days,142.0,5.0,0.0
102 days,82.0,2.0,0.0
103 days,22.0,4.0,0.0
104 days,19.0,4.0,300.0
105 days,51.0,9.0,0.0
