Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,1,0,0
32 days,1,0,0
33 days,1,0,0
34 days,0,0,0
35 days,2,0,0
36 days,3,0,0
37 days,3,0,0
38 days,4,0,0
39 days,5,0,0
40 days,8,0,0
41 days,12,0,0
42 days,10,0,0
43 days,38,0,0
44 days,55,0,0
45 days,62,0,3
46 days,41,0,3
47 days,32,0,3
48 days,31,0,0
49 days,41,0,0
50 days,43,0,0
51 days,62,0,0
52 days,75,0,0
53 days,83,0,0
54 days,90,0,0
55 days,85,1,0
56 days,86,1,0
57 days,83,2,0
58 days,96,2,0
59 days,94,2,0
60 days,104,2,0
61 days,84,3,0
62 days,69,2,0
63 days,55,2,97
64 days,66,1,97
65 days,145,3,97
66 days,136,3,0
67 days,187,2,0
68 days,142,3,0
69 days,187,4,0
70 days,143,5,0
71 days,154,5,0
72 days,139,3,0
73 days,123,5,0
74 days,98,4,0
75 days,85,5,0
76 days,88,5,0
77 days,102,5,467
78 days,109,6,467
79 days,148,6,467
80 days,138,6,0
81 days,126,5,100
82 days,111,17,100
83 days,115,18,100
84 days,139,25,0
85 days,127,12,167
86 days,115,12,167
87 days,97,6,167
88 days,100,5,0
89 days,88,4,100
90 days,110,5,100
91 days,100,6,167
92 days,104,6,67
93 days,90,5,67
94 days,86,6,0
95 days,92,7,167
96 days,79,9,167
97 days,106,7,167
98 days,115,5,0
99 days,109,5,167
100 days,102,4,167
101 days,96,4,167
102 days,82,4,0
103 days,41,3,100
104 days,31,6,100
