Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,1.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,5.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,2.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,1.0,1.0,2.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,2.0,0.0,7.0
33 days,4.0,1.0,0.0
34 days,20.0,0.0,0.0
35 days,19.0,0.0,0.0
36 days,43.0,0.0,1.0
37 days,30.0,0.0,0.0
38 days,61.0,1.0,0.0
39 days,13.0,1.0,0.0
40 days,84.0,0.0,0.0
41 days,92.0,2.0,0.0
42 days,276.0,3.0,0.0
43 days,303.0,2.0,0.0
44 days,177.0,8.0,0.0
45 days,83.0,0.0,0.0
46 days,575.0,14.0,0.0
47 days,499.0,15.0,0.0
48 days,0.0,0.0,0.0
49 days,1388.0,31.0,0.0
50 days,815.0,12.0,0.0
51 days,36.0,0.0,0.0
52 days,2151.0,58.0,0.0
53 days,1032.0,0.0,0.0
54 days,1409.0,0.0,0.0
55 days,1846.0,95.0,0.0
56 days,1788.0,207.0,0.0
57 days,1705.0,112.0,0.0
58 days,1780.0,113.0,2194.0
59 days,3880.0,186.0,0.0
60 days,2499.0,240.0,1044.0
61 days,2978.0,231.0,657.0
62 days,3951.0,365.0,1048.0
63 days,3851.0,299.0,752.0
64 days,4703.0,320.0,17.0
65 days,2603.0,294.0,1502.0
66 days,4462.0,419.0,738.0
67 days,7657.0,502.0,1549.0
68 days,4922.0,882.0,1540.0
69 days,2180.0,984.0,1495.0
70 days,5273.0,1122.0,1587.0
71 days,4298.0,1054.0,1437.0
72 days,1912.0,519.0,777.0
73 days,3931.0,833.0,1079.0
74 days,3820.0,1417.0,2095.0
75 days,3894.0,544.0,1929.0
76 days,4309.0,1341.0,1961.0
77 days,4372.0,987.0,1782.0
78 days,3125.0,636.0,1468.0
79 days,26849.0,561.0,806.0
80 days,3682.0,574.0,532.0
81 days,4971.0,745.0,804.0
82 days,3220.0,1438.0,2150.0
83 days,12490.0,753.0,1857.0
84 days,2009.0,761.0,1608.0
85 days,2.0,642.0,1563.0
86 days,4925.0,395.0,595.0
87 days,2382.0,547.0,831.0
88 days,587.0,531.0,1772.0
89 days,0.0,544.0,1476.0
90 days,2323.0,516.0,1431.0
91 days,1649.0,390.0,1405.0
92 days,1692.0,369.0,1101.0
93 days,576.0,242.0,309.0
94 days,3743.0,437.0,610.0
95 days,580.0,367.0,1373.0
96 days,0.0,427.0,1342.0
97 days,756.0,289.0,1248.0
98 days,6.0,218.0,736.0
99 days,1213.0,166.0,451.0
100 days,407.0,137.0,222.0
101 days,658.0,304.0,591.0
102 days,1104.0,333.0,1366.0
103 days,3537.0,275.0,1237.0
104 days,694.0,178.0,1112.0
105 days,1284.0,243.0,701.0
106 days,580.0,80.0,256.0
107 days,312.0,70.0,179.0
108 days,453.0,263.0,508.0
109 days,637.0,348.0,1063.0
110 days,0.0,83.0,888.0
