Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,1,0,0
8 days,1,0,0
9 days,1,0,0
10 days,1,0,0
11 days,0,0,0
12 days,1,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,3,0,0
18 days,4,0,0
19 days,5,0,0
20 days,2,0,0
21 days,1,0,0
22 days,0,0,0
23 days,1,0,0
24 days,3,0,0
25 days,4,0,0
26 days,7,0,0
27 days,5,0,0
28 days,4,0,0
29 days,2,0,0
30 days,4,0,0
31 days,4,0,0
32 days,10,0,1
33 days,8,0,1
34 days,17,0,2
35 days,9,0,1
36 days,10,0,1
37 days,4,0,0
38 days,16,0,3
39 days,19,0,6
40 days,16,0,6
41 days,5,1,3
42 days,3,1,2
43 days,3,0,2
44 days,13,0,6
45 days,21,0,8
46 days,33,0,12
47 days,22,0,8
48 days,13,0,5
49 days,20,1,6
50 days,20,1,6
51 days,30,1,9
52 days,21,0,3
