Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,3,0,0
12 days,4,0,0
13 days,4,0,0
14 days,4,0,0
15 days,3,0,0
16 days,3,0,0
17 days,2,0,0
18 days,3,0,0
19 days,3,0,0
20 days,1,0,0
21 days,2,0,0
22 days,2,0,0
23 days,3,0,0
24 days,4,0,0
25 days,5,0,1
26 days,6,0,1
27 days,7,0,3
28 days,7,0,2
29 days,6,0,3
30 days,4,0,2
31 days,5,0,1
32 days,4,0,2
33 days,7,0,2
34 days,7,0,2
35 days,9,0,2
36 days,10,0,2
37 days,15,0,2
38 days,15,0,4
39 days,13,1,3
40 days,11,1,4
41 days,11,1,3
42 days,12,0,5
43 days,10,0,4
44 days,13,0,3
45 days,10,0,3
46 days,13,0,5
47 days,13,0,5
48 days,19,0,3
49 days,16,0,1
50 days,25,0,3
51 days,23,0,3
52 days,27,0,5
53 days,15,0,6
54 days,11,0,5
55 days,7,0,4
56 days,7,0,5
