Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,3.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,3.0,0.0,0.0
6 days,2.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,1.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,1.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,2.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,1.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,11.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,2.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,1.0,0.0,0.0
30 days,10.0,0.0,1.0
31 days,19.0,0.0,1.0
32 days,2.0,0.0,0.0
33 days,31.0,0.0,0.0
34 days,51.0,0.0,0.0
35 days,29.0,0.0,0.0
36 days,37.0,0.0,0.0
37 days,66.0,0.0,0.0
38 days,220.0,0.0,0.0
39 days,188.0,0.0,1.0
40 days,129.0,0.0,1.0
41 days,241.0,0.0,0.0
42 days,136.0,2.0,0.0
43 days,281.0,0.0,0.0
44 days,451.0,1.0,7.0
45 days,170.0,0.0,0.0
46 days,1597.0,4.0,21.0
47 days,910.0,2.0,0.0
48 days,1210.0,2.0,0.0
49 days,1477.0,6.0,21.0
50 days,1985.0,7.0,0.0
51 days,3070.0,4.0,38.0
52 days,2993.0,16.0,8.0
53 days,4528.0,23.0,67.0
54 days,2365.0,17.0,53.0
55 days,2660.0,10.0,33.0
56 days,4183.0,29.0,0.0
57 days,3930.0,34.0,2977.0
58 days,4337.0,49.0,304.0
59 days,6615.0,61.0,2126.0
60 days,6933.0,75.0,985.0
61 days,6824.0,91.0,1823.0
62 days,4400.0,100.0,730.0
63 days,4790.0,112.0,4289.0
64 days,4923.0,130.0,2600.0
65 days,6064.0,145.0,2600.0
66 days,6922.0,187.0,3740.0
67 days,6365.0,168.0,2135.0
68 days,4933.0,169.0,1825.0
69 days,4031.0,140.0,2300.0
70 days,3251.0,226.0,0.0
71 days,4289.0,206.0,7381.0
72 days,5633.0,333.0,10219.0
73 days,4885.0,258.0,6107.0
74 days,3990.0,129.0,1506.0
75 days,2737.0,0.0,3487.0
76 days,2946.0,286.0,2900.0
77 days,2218.0,172.0,4000.0
78 days,1287.0,100.0,3900.0
79 days,3394.0,510.0,4400.0
80 days,2945.0,248.0,4400.0
81 days,3699.0,300.0,6114.0
82 days,1945.0,107.0,2286.0
83 days,1842.0,127.0,2600.0
84 days,1881.0,276.0,3500.0
85 days,1226.0,171.0,3700.0
86 days,2357.0,246.0,4200.0
