Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,0,0,0
5 days,1,0,0
6 days,2,0,0
7 days,2,0,0
8 days,1,0,0
9 days,1,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,1,0,0
14 days,0,0,0
15 days,1,0,0
16 days,1,0,0
17 days,1,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,4
23 days,0,0,4
24 days,0,0,4
25 days,0,0,1
26 days,0,0,1
27 days,0,0,1
28 days,0,0,0
29 days,0,0,0
30 days,4,0,0
31 days,10,0,1
32 days,10,0,1
33 days,17,0,0
34 days,28,0,0
35 days,37,0,0
36 days,39,0,0
37 days,44,0,0
38 days,108,0,0
39 days,158,0,0
40 days,179,0,1
41 days,186,0,1
42 days,169,1,0
43 days,219,1,0
44 days,289,1,2
45 days,301,0,2
46 days,739,2,9
47 days,892,2,7
48 days,1239,3,7
49 days,1199,3,7
50 days,1557,5,7
51 days,2177,6,20
52 days,2683,9,15
53 days,3530,14,38
54 days,3295,19,43
55 days,3184,17,51
56 days,3069,19,29
57 days,3591,24,1003
58 days,4150,37,1094
59 days,4961,48,1802
60 days,5962,62,1138
61 days,6791,76,1645
62 days,6052,89,1179
63 days,5338,101,2281
64 days,4704,114,2540
65 days,5259,129,3163
66 days,5970,154,2980
67 days,6450,167,2825
68 days,6073,175,2567
69 days,5110,159,2087
70 days,4072,178,1375
71 days,3857,191,3227
72 days,4391,255,5867
73 days,4936,266,7902
74 days,4836,250,5944
75 days,3871,129,3700
76 days,3224,138,2631
77 days,2634,142,3462
78 days,2150,186,3600
79 days,2300,261,4100
80 days,2542,286,4233
81 days,3346,353,4971
82 days,2863,218,4267
83 days,2495,178,3667
84 days,1889,170,2795
85 days,1650,191,3267
86 days,1821,231,3800
87 days,2021,238,3933
88 days,2236,242,4867
89 days,1955,199,3467
90 days,1547,134,2900
91 days,1253,122,1567
92 days,1133,146,2533
93 days,1256,164,2800
94 days,1417,166,3000
95 days,1388,141,3167
96 days,1143,115,2867
97 days,885,81,2367
98 days,692,86,1933
99 days,680,60,2033
