Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,1,0,0
4 days,0,0,0
5 days,2,0,0
6 days,3,0,0
7 days,4,0,0
8 days,4,0,0
9 days,4,1,0
10 days,11,0,0
11 days,23,1,0
12 days,35,1,0
13 days,28,1,1
14 days,16,0,1
15 days,7,0,0
16 days,5,0,0
17 days,7,0,0
18 days,14,0,0
19 days,17,0,0
20 days,15,0,0
21 days,3,0,0
22 days,3,0,0
23 days,3,0,0
24 days,27,0,0
25 days,33,0,0
26 days,55,0,0
27 days,30,0,0
28 days,32,1,0
29 days,63,1,0
30 days,63,1,0
31 days,76,0,4
32 days,23,0,4
33 days,25,0,26
34 days,2,0,22
35 days,66,0,27
36 days,134,0,5
37 days,134,0,5
38 days,69,0,0
39 days,37,0,0
