Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,2.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,22.0,0.0,0.0
9 days,14.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,27.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,16.0,0.0,0.0
14 days,10.0,1.0,0.0
15 days,0.0,0.0,0.0
16 days,91.0,0.0,0.0
17 days,38.0,2.0,8.0
18 days,103.0,1.0,0.0
19 days,0.0,0.0,0.0
20 days,56.0,1.0,0.0
21 days,31.0,0.0,0.0
22 days,0.0,1.0,0.0
23 days,77.0,0.0,11.0
24 days,35.0,7.0,0.0
25 days,94.0,2.0,0.0
26 days,71.0,2.0,0.0
27 days,48.0,3.0,10.0
28 days,78.0,2.0,7.0
29 days,71.0,4.0,0.0
30 days,74.0,2.0,16.0
31 days,95.0,4.0,0.0
32 days,95.0,6.0,0.0
33 days,56.0,5.0,0.0
34 days,102.0,6.0,0.0
35 days,101.0,1.0,0.0
36 days,129.0,3.0,9.0
37 days,69.0,10.0,17.0
38 days,60.0,5.0,0.0
39 days,62.0,5.0,0.0
40 days,20.0,6.0,191.0
41 days,77.0,2.0,0.0
42 days,52.0,2.0,0.0
43 days,71.0,4.0,0.0
44 days,56.0,5.0,0.0
45 days,70.0,1.0,0.0
46 days,33.0,5.0,0.0
47 days,31.0,1.0,0.0
48 days,25.0,2.0,0.0
49 days,22.0,1.0,0.0
50 days,15.0,3.0,0.0
51 days,17.0,3.0,0.0
52 days,11.0,2.0,0.0
53 days,0.0,3.0,0.0
54 days,10.0,3.0,0.0
55 days,156.0,5.0,308.0
56 days,7.0,0.0,0.0
57 days,55.0,4.0,0.0
58 days,27.0,5.0,0.0
59 days,16.0,0.0,0.0
60 days,11.0,4.0,0.0
61 days,17.0,2.0,0.0
62 days,32.0,2.0,0.0
63 days,10.0,1.0,0.0
64 days,15.0,1.0,797.0
65 days,21.0,0.0,0.0
66 days,8.0,3.0,0.0
67 days,6.0,1.0,0.0
68 days,6.0,2.0,0.0
69 days,10.0,0.0,0.0
70 days,21.0,1.0,0.0
71 days,15.0,1.0,0.0
72 days,13.0,2.0,0.0
73 days,19.0,1.0,0.0
74 days,6.0,0.0,0.0
75 days,10.0,0.0,0.0
76 days,18.0,1.0,0.0
77 days,16.0,3.0,0.0
