Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,8,0,0
8 days,13,0,0
9 days,12,0,0
10 days,14,0,0
11 days,9,0,0
12 days,14,0,0
13 days,9,0,0
14 days,9,0,0
15 days,34,0,0
16 days,43,1,3
17 days,77,1,3
18 days,47,1,3
19 days,53,1,0
20 days,29,0,0
21 days,29,1,0
22 days,36,0,4
23 days,37,3,4
24 days,69,3,4
25 days,67,4,0
26 days,71,2,3
27 days,66,2,6
28 days,66,3,6
29 days,74,3,8
30 days,80,3,5
31 days,88,4,5
32 days,82,5,0
33 days,84,6,0
34 days,86,4,0
35 days,111,3,3
36 days,100,5,9
37 days,86,6,9
38 days,64,7,6
39 days,47,5,64
40 days,53,4,64
41 days,50,3,64
42 days,67,3,0
43 days,60,4,0
44 days,66,3,0
45 days,53,4,0
46 days,45,2,0
47 days,30,3,0
48 days,26,1,0
49 days,21,2,0
50 days,18,2,0
51 days,14,3,0
52 days,9,3,0
53 days,7,3,0
54 days,55,4,103
55 days,58,3,103
56 days,73,3,103
57 days,30,3,0
58 days,33,3,0
59 days,18,3,0
60 days,15,2,0
61 days,20,3,0
62 days,20,2,0
63 days,19,1,266
64 days,15,1,266
65 days,15,1,266
66 days,12,1,0
67 days,7,2,0
68 days,7,1,0
69 days,12,1,0
70 days,15,1,0
71 days,16,1,0
72 days,16,1,0
73 days,13,1,0
74 days,12,0,0
75 days,11,0,0
76 days,15,1,0
