Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,1.0,0.0
3 days,4.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,3.0,0.0,0.0
6 days,3.0,0.0,0.0
7 days,5.0,0.0,0.0
8 days,2.0,0.0,0.0
9 days,1.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,3.0,0.0,4.0
12 days,1.0,0.0,0.0
13 days,3.0,0.0,0.0
14 days,6.0,0.0,6.0
15 days,0.0,0.0,0.0
16 days,2.0,0.0,0.0
17 days,2.0,0.0,2.0
18 days,1.0,0.0,0.0
19 days,8.0,0.0,0.0
20 days,3.0,0.0,0.0
21 days,11.0,1.0,3.0
22 days,0.0,0.0,0.0
23 days,9.0,1.0,0.0
24 days,7.0,0.0,2.0
25 days,10.0,0.0,0.0
26 days,8.0,0.0,0.0
27 days,31.0,0.0,0.0
28 days,11.0,0.0,2.0
29 days,18.0,2.0,0.0
30 days,1.0,0.0,0.0
31 days,11.0,0.0,0.0
32 days,13.0,0.0,0.0
33 days,16.0,0.0,0.0
34 days,18.0,2.0,2.0
35 days,21.0,0.0,0.0
36 days,22.0,0.0,0.0
37 days,32.0,0.0,0.0
38 days,5.0,0.0,3.0
39 days,22.0,1.0,0.0
40 days,68.0,3.0,6.0
41 days,46.0,0.0,0.0
42 days,43.0,2.0,15.0
43 days,27.0,2.0,4.0
44 days,30.0,0.0,0.0
45 days,0.0,0.0,0.0
46 days,27.0,1.0,13.0
47 days,42.0,0.0,4.0
48 days,45.0,0.0,6.0
49 days,44.0,1.0,0.0
50 days,15.0,0.0,0.0
51 days,27.0,2.0,7.0
52 days,33.0,0.0,0.0
53 days,35.0,2.0,7.0
54 days,34.0,2.0,4.0
55 days,68.0,1.0,11.0
56 days,67.0,0.0,3.0
57 days,85.0,2.0,6.0
58 days,62.0,0.0,1.0
59 days,85.0,1.0,9.0
60 days,143.0,2.0,1.0
