Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,2,0,0
3 days,2,0,0
4 days,2,0,0
5 days,2,0,0
6 days,4,0,0
7 days,3,0,0
8 days,3,0,0
9 days,1,0,0
10 days,2,0,1
11 days,2,0,1
12 days,2,0,1
13 days,3,0,2
14 days,3,0,2
15 days,3,0,2
16 days,1,0,1
17 days,2,0,1
18 days,4,0,1
19 days,4,0,0
20 days,7,0,1
21 days,5,0,1
22 days,7,1,1
23 days,5,0,1
24 days,9,0,1
25 days,8,0,1
26 days,16,0,0
27 days,17,0,1
28 days,20,1,1
29 days,10,1,1
30 days,10,1,0
31 days,8,0,0
32 days,13,0,0
33 days,16,1,1
34 days,18,1,1
35 days,20,1,1
36 days,25,0,0
37 days,20,0,1
38 days,20,0,1
39 days,32,1,3
40 days,45,1,2
41 days,52,2,7
42 days,39,1,6
43 days,33,1,6
44 days,19,1,1
45 days,19,0,4
46 days,23,0,6
47 days,38,0,8
48 days,44,0,3
49 days,35,0,2
50 days,29,1,2
51 days,25,1,2
52 days,32,1,5
53 days,34,1,4
54 days,46,2,7
55 days,56,1,6
56 days,73,1,7
57 days,71,1,3
58 days,77,1,5
59 days,97,1,4
