Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,4.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,8.0,0.0,0.0
17 days,6.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,8.0,0.0,0.0
20 days,22.0,0.0,0.0
21 days,21.0,0.0,2.0
22 days,38.0,0.0,3.0
23 days,10.0,0.0,0.0
24 days,7.0,0.0,0.0
25 days,16.0,0.0,0.0
26 days,20.0,0.0,0.0
27 days,30.0,0.0,6.0
28 days,18.0,0.0,4.0
29 days,38.0,0.0,2.0
30 days,0.0,0.0,0.0
31 days,69.0,0.0,0.0
32 days,44.0,0.0,14.0
33 days,41.0,1.0,0.0
34 days,34.0,0.0,18.0
35 days,39.0,2.0,10.0
36 days,41.0,0.0,6.0
37 days,61.0,2.0,22.0
38 days,43.0,0.0,35.0
39 days,66.0,1.0,5.0
40 days,73.0,0.0,37.0
41 days,101.0,0.0,6.0
42 days,92.0,0.0,21.0
43 days,42.0,1.0,17.0
44 days,0.0,0.0,0.0
45 days,167.0,0.0,38.0
46 days,77.0,0.0,23.0
47 days,111.0,0.0,44.0
48 days,144.0,0.0,16.0
49 days,42.0,0.0,13.0
50 days,49.0,0.0,63.0
51 days,0.0,0.0,0.0
52 days,124.0,2.0,45.0
53 days,101.0,1.0,48.0
54 days,45.0,1.0,99.0
55 days,71.0,0.0,32.0
56 days,82.0,0.0,34.0
57 days,33.0,0.0,35.0
58 days,104.0,0.0,16.0
59 days,0.0,0.0,0.0
60 days,152.0,0.0,102.0
61 days,76.0,3.0,40.0
