Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,0,0,0
13 days,1,0,0
14 days,1,0,0
15 days,4,0,0
16 days,5,0,0
17 days,5,0,0
18 days,5,0,0
19 days,10,0,0
20 days,17,0,1
21 days,27,0,2
22 days,23,0,2
23 days,18,0,1
24 days,11,0,0
25 days,14,0,0
26 days,22,0,2
27 days,23,0,3
28 days,29,0,4
29 days,19,0,2
30 days,36,0,1
31 days,38,0,5
32 days,51,0,5
33 days,40,0,11
34 days,38,1,9
35 days,38,1,11
36 days,47,1,13
37 days,48,1,21
38 days,57,1,21
39 days,61,0,26
40 days,80,0,16
41 days,89,0,21
42 days,78,0,15
43 days,45,0,13
44 days,70,0,18
45 days,81,0,20
46 days,118,0,35
47 days,111,0,28
48 days,99,0,24
49 days,78,0,31
50 days,30,0,25
51 days,58,1,36
52 days,75,1,31
53 days,90,1,64
54 days,72,1,60
55 days,66,0,55
56 days,62,0,34
57 days,73,0,28
58 days,46,0,17
59 days,85,0,39
60 days,76,1,47
