Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,1,0,0
17 days,1,0,0
18 days,1,0,0
19 days,1,0,0
20 days,4,0,0
21 days,4,1,0
22 days,4,1,0
23 days,1,1,0
24 days,2,0,0
25 days,3,0,3
26 days,3,0,3
27 days,4,1,3
28 days,2,1,0
29 days,1,0,0
30 days,3,0,0
31 days,3,0,0
32 days,3,0,0
33 days,1,0,0
34 days,3,0,0
35 days,3,0,0
36 days,5,0,0
37 days,3,0,0
38 days,3,0,0
39 days,1,0,0
40 days,1,0,0
41 days,1,0,0
42 days,2,0,0
43 days,2,0,1
44 days,2,0,1
45 days,1,0,1
46 days,0,0,1
47 days,0,0,1
48 days,1,0,2
49 days,3,0,2
50 days,3,0,2
51 days,1,0,1
52 days,0,0,0
53 days,3,0,2
54 days,4,0,2
