Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,0,0,0
5 days,1,0,0
6 days,2,0,0
7 days,2,0,0
8 days,2,0,0
9 days,5,0,0
10 days,5,0,0
11 days,5,0,0
12 days,2,0,0
13 days,2,0,0
14 days,3,0,0
15 days,7,0,0
16 days,13,0,0
17 days,20,0,1
18 days,19,1,1
19 days,24,2,1
20 days,15,2,0
21 days,21,2,0
22 days,27,2,0
23 days,27,3,0
24 days,31,2,0
25 days,16,3,1
26 days,25,2,1
27 days,14,2,1
28 days,15,0,0
29 days,15,0,0
30 days,26,0,0
31 days,27,1,0
32 days,17,1,0
33 days,5,1,0
34 days,5,1,0
35 days,9,2,1
36 days,10,3,1
37 days,12,5,1
38 days,13,5,0
39 days,15,4,2
40 days,12,2,5
41 days,12,0,6
42 days,13,0,5
