Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,2.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,4.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,6.0,0.0,0.0
10 days,11.0,0.0,1.0
11 days,2.0,1.0,0.0
12 days,7.0,0.0,0.0
13 days,11.0,0.0,1.0
14 days,8.0,0.0,0.0
15 days,15.0,0.0,0.0
16 days,12.0,2.0,0.0
17 days,18.0,1.0,5.0
18 days,28.0,2.0,9.0
19 days,36.0,1.0,0.0
20 days,20.0,2.0,5.0
21 days,39.0,1.0,0.0
22 days,35.0,0.0,7.0
23 days,39.0,0.0,6.0
24 days,43.0,1.0,0.0
25 days,65.0,2.0,0.0
26 days,39.0,2.0,0.0
27 days,45.0,1.0,3.0
28 days,33.0,4.0,3.0
29 days,60.0,1.0,2.0
30 days,38.0,5.0,1.0
31 days,55.0,6.0,15.0
32 days,55.0,2.0,8.0
33 days,11.0,4.0,1.0
34 days,73.0,9.0,4.0
35 days,78.0,11.0,23.0
36 days,85.0,8.0,2.0
37 days,210.0,11.0,16.0
38 days,120.0,8.0,3.0
39 days,100.0,14.0,3.0
40 days,48.0,10.0,2.0
41 days,54.0,13.0,2.0
42 days,67.0,12.0,70.0
43 days,73.0,8.0,7.0
44 days,111.0,14.0,8.0
45 days,71.0,16.0,24.0
46 days,82.0,17.0,19.0
47 days,68.0,10.0,17.0
48 days,114.0,14.0,20.0
49 days,70.0,12.0,8.0
