Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,2,0,0
5 days,2,0,0
6 days,2,0,0
7 days,2,0,0
8 days,1,0,0
9 days,3,0,0
10 days,6,0,0
11 days,6,0,0
12 days,7,0,0
13 days,7,0,0
14 days,9,0,0
15 days,11,0,0
16 days,12,1,0
17 days,15,1,2
18 days,19,2,5
19 days,27,1,5
20 days,28,2,5
21 days,32,1,2
22 days,31,1,4
23 days,38,0,4
24 days,39,0,4
25 days,49,1,2
26 days,49,2,0
27 days,50,2,1
28 days,39,2,2
29 days,46,2,3
30 days,44,3,2
31 days,51,4,6
32 days,49,4,8
33 days,40,4,8
34 days,46,5,4
35 days,54,8,9
36 days,79,9,10
37 days,124,10,14
38 days,138,9,7
39 days,143,11,7
40 days,89,11,3
41 days,67,12,2
42 days,56,12,25
43 days,65,11,26
44 days,84,11,28
45 days,85,13,13
46 days,88,16,17
47 days,74,14,20
48 days,88,14,19
49 days,84,12,15
50 days,100,13,41
51 days,115,16,57
52 days,92,12,54
53 days,72,11,32
54 days,47,6,13
55 days,69,10,19
56 days,76,9,17
57 days,64,11,28
58 days,71,11,31
59 days,72,12,30
60 days,74,9,16
61 days,57,9,7
62 days,41,9,28
