Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,3.0,0.0,0.0
4 days,5.0,0.0,0.0
5 days,15.0,0.0,0.0
6 days,8.0,0.0,0.0
7 days,9.0,0.0,0.0
8 days,7.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,8.0,0.0,0.0
11 days,11.0,0.0,0.0
12 days,16.0,0.0,0.0
13 days,18.0,0.0,0.0
14 days,31.0,0.0,0.0
15 days,22.0,0.0,0.0
16 days,15.0,0.0,0.0
17 days,9.0,0.0,0.0
18 days,40.0,0.0,0.0
19 days,30.0,0.0,5.0
20 days,80.0,0.0,0.0
21 days,79.0,0.0,0.0
22 days,64.0,1.0,17.0
23 days,95.0,0.0,14.0
24 days,20.0,0.0,0.0
25 days,60.0,1.0,15.0
26 days,89.0,0.0,5.0
27 days,65.0,0.0,26.0
28 days,88.0,0.0,15.0
29 days,73.0,0.0,17.0
30 days,57.0,0.0,21.0
31 days,66.0,0.0,22.0
32 days,49.0,0.0,41.0
33 days,85.0,0.0,27.0
34 days,99.0,2.0,59.0
35 days,45.0,0.0,25.0
36 days,53.0,0.0,87.0
37 days,69.0,0.0,32.0
38 days,76.0,2.0,32.0
39 days,24.0,0.0,99.0
40 days,30.0,0.0,74.0
41 days,32.0,0.0,55.0
42 days,27.0,1.0,63.0
43 days,14.0,1.0,90.0
44 days,12.0,0.0,48.0
45 days,10.0,0.0,44.0
46 days,9.0,0.0,56.0
47 days,7.0,0.0,88.0
48 days,12.0,0.0,67.0
49 days,15.0,1.0,80.0
50 days,6.0,0.0,67.0
51 days,11.0,0.0,0.0
52 days,2.0,1.0,71.0
53 days,5.0,0.0,55.0
54 days,7.0,0.0,45.0
