Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,2,0,0
4 days,3,0,0
5 days,8,0,0
6 days,9,0,0
7 days,11,0,0
8 days,8,0,0
9 days,5,0,0
10 days,5,0,0
11 days,6,0,0
12 days,12,0,0
13 days,15,0,0
14 days,22,0,0
15 days,24,0,0
16 days,23,0,0
17 days,15,0,0
18 days,21,0,0
19 days,26,0,2
20 days,50,0,2
21 days,63,0,2
22 days,74,0,6
23 days,79,0,10
24 days,60,0,10
25 days,58,0,10
26 days,56,0,7
27 days,71,0,15
28 days,81,0,15
29 days,75,0,19
30 days,73,0,18
31 days,65,0,20
32 days,57,0,28
33 days,67,0,30
34 days,78,1,42
35 days,76,1,37
36 days,66,1,57
37 days,56,0,48
38 days,66,1,50
39 days,56,1,54
40 days,43,1,68
41 days,29,0,76
42 days,30,0,64
43 days,24,1,69
44 days,18,1,67
45 days,12,0,61
46 days,10,0,49
47 days,9,0,63
48 days,9,0,70
49 days,11,0,78
50 days,11,0,71
51 days,11,0,49
52 days,6,0,46
53 days,6,0,42
54 days,5,0,57
