Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,1
18 days,0,0,1
19 days,0,0,1
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,1,0,0
33 days,1,0,0
34 days,8,0,0
35 days,8,0,0
36 days,9,0,0
37 days,2,0,0
38 days,3,0,0
39 days,4,0,0
40 days,7,0,0
41 days,8,0,0
42 days,10,0,0
43 days,9,1,0
44 days,13,0,0
45 days,13,0,3
46 days,12,0,3
47 days,13,0,3
48 days,14,0,0
49 days,25,1,1
50 days,34,1,2
51 days,58,0,3
52 days,67,1,4
53 days,85,2,2
54 days,69,2,6
55 days,87,2,5
56 days,76,3,6
57 days,117,3,11
58 days,110,4,14
59 days,99,2,17
60 days,121,4,10
61 days,137,4,13
62 days,325,10,18
63 days,431,13,30
64 days,390,12,23
65 days,361,9,27
66 days,348,9,13
67 days,737,21,61
68 days,743,21,64
69 days,776,26,92
70 days,649,30,82
71 days,762,32,118
72 days,843,37,154
73 days,827,35,153
74 days,952,37,136
75 days,1014,35,130
76 days,1039,25,117
77 days,992,30,196
78 days,955,31,227
79 days,1133,39,344
80 days,1395,37,362
81 days,1396,35,411
82 days,1453,41,504
83 days,1252,41,505
84 days,1513,43,580
85 days,1483,45,508
86 days,1638,48,523
87 days,1604,53,504
88 days,1640,53,546
89 days,1680,61,603
90 days,1724,66,638
91 days,1804,72,644
92 days,1978,72,753
93 days,2212,81,794
94 days,2547,79,902
95 days,3060,114,947
96 days,3234,123,1108
