Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,2.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,2.0,0.0,0.0
7 days,13.0,0.0,0.0
8 days,8.0,0.0,2.0
9 days,7.0,1.0,0.0
10 days,0.0,0.0,0.0
11 days,35.0,3.0,0.0
12 days,27.0,1.0,6.0
13 days,21.0,0.0,0.0
14 days,17.0,0.0,0.0
15 days,38.0,0.0,0.0
16 days,55.0,14.0,3.0
17 days,84.0,6.0,0.0
18 days,58.0,7.0,4.0
19 days,81.0,6.0,0.0
20 days,64.0,10.0,14.0
21 days,65.0,1.0,0.0
22 days,107.0,6.0,1.0
23 days,104.0,3.0,1.0
24 days,103.0,20.0,4.0
25 days,153.0,9.0,11.0
26 days,109.0,15.0,13.0
27 days,130.0,12.0,5.0
28 days,129.0,8.0,11.0
29 days,114.0,14.0,6.0
30 days,149.0,21.0,22.0
31 days,113.0,13.0,9.0
32 days,196.0,11.0,22.0
33 days,106.0,10.0,16.0
34 days,181.0,7.0,14.0
35 days,218.0,11.0,28.0
36 days,247.0,12.0,12.0
37 days,218.0,19.0,18.0
38 days,337.0,40.0,30.0
39 days,219.0,26.0,30.0
40 days,330.0,21.0,4.0
41 days,399.0,46.0,73.0
42 days,316.0,26.0,21.0
43 days,282.0,60.0,46.0
44 days,297.0,10.0,20.0
45 days,380.0,27.0,102.0
46 days,407.0,24.0,59.0
47 days,325.0,15.0,24.0
48 days,327.0,47.0,55.0
49 days,185.0,8.0,61.0
50 days,375.0,26.0,95.0
51 days,283.0,19.0,71.0
52 days,357.0,12.0,47.0
53 days,436.0,42.0,42.0
54 days,396.0,31.0,40.0
55 days,275.0,23.0,65.0
56 days,214.0,22.0,44.0
57 days,415.0,8.0,103.0
58 days,260.0,11.0,137.0
59 days,347.0,8.0,131.0
60 days,433.0,8.0,69.0
61 days,292.0,31.0,74.0
62 days,349.0,14.0,211.0
63 days,395.0,19.0,78.0
64 days,484.0,8.0,243.0
65 days,367.0,23.0,120.0
66 days,338.0,35.0,64.0
67 days,336.0,13.0,113.0
68 days,533.0,16.0,113.0
69 days,387.0,14.0,91.0
70 days,233.0,18.0,183.0
71 days,484.0,16.0,182.0
72 days,689.0,21.0,224.0
