Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,5,0,0
7 days,8,0,1
8 days,9,0,1
9 days,5,0,1
10 days,14,1,0
11 days,21,1,2
12 days,28,1,2
13 days,22,0,2
14 days,25,0,0
15 days,37,5,1
16 days,59,7,1
17 days,66,9,2
18 days,74,6,1
19 days,68,8,6
20 days,70,6,5
21 days,79,6,5
22 days,92,3,1
23 days,105,10,2
24 days,120,11,5
25 days,122,15,9
26 days,131,12,10
27 days,123,12,10
28 days,124,11,7
29 days,131,14,13
30 days,125,16,12
31 days,153,15,18
32 days,138,11,16
33 days,161,9,17
34 days,168,9,19
35 days,215,10,18
36 days,228,14,19
37 days,267,24,20
38 days,258,28,26
39 days,295,29,21
40 days,316,31,36
41 days,348,31,33
42 days,332,44,47
43 days,298,32,29
44 days,320,32,56
45 days,361,20,60
46 days,371,22,62
47 days,353,29,46
48 days,279,23,47
49 days,296,27,70
50 days,281,18,76
51 days,338,19,71
52 days,359,24,53
53 days,396,28,43
54 days,369,32,49
55 days,295,25,50
56 days,301,18,71
57 days,296,14,95
58 days,341,9,124
59 days,347,9,112
60 days,357,16,91
61 days,358,18,118
62 days,345,21,121
63 days,409,14,177
64 days,415,17,147
65 days,396,22,142
66 days,347,24,99
67 days,402,21,97
68 days,419,14,106
69 days,384,16,129
70 days,368,16,152
71 days,469,18,196
