Dates,Infected,Dead,Recovered
0 days,2.0,2.0,0.0
1 days,3.0,0.0,0.0
2 days,13.0,2.0,0.0
3 days,10.0,1.0,0.0
4 days,15.0,3.0,0.0
5 days,18.0,4.0,0.0
6 days,34.0,4.0,0.0
7 days,44.0,3.0,49.0
8 days,106.0,7.0,0.0
9 days,143.0,8.0,24.0
10 days,205.0,9.0,50.0
11 days,385.0,11.0,52.0
12 days,523.0,12.0,116.0
13 days,835.0,11.0,0.0
14 days,586.0,15.0,261.0
15 days,591.0,15.0,187.0
16 days,1234.0,17.0,174.0
17 days,1076.0,21.0,756.0
18 days,743.0,49.0,465.0
19 days,595.0,43.0,260.0
20 days,881.0,54.0,337.0
21 days,958.0,63.0,228.0
22 days,1075.0,75.0,0.0
23 days,1289.0,85.0,0.0
24 days,1365.0,97.0,0.0
25 days,1209.0,113.0,1631.0
26 days,1053.0,129.0,0.0
27 days,1178.0,135.0,799.0
28 days,1192.0,147.0,0.0
29 days,1046.0,149.0,321.0
30 days,1237.0,149.0,1035.0
31 days,966.0,123.0,890.0
32 days,1028.0,129.0,296.0
33 days,1411.0,127.0,0.0
34 days,1762.0,122.0,982.0
35 days,2206.0,143.0,712.0
36 days,2389.0,157.0,832.0
37 days,2926.0,144.0,676.0
38 days,3076.0,139.0,546.0
39 days,2901.0,123.0,712.0
40 days,3186.0,117.0,1520.0
41 days,3110.0,141.0,745.0
42 days,2988.0,138.0,817.0
43 days,2875.0,124.0,1238.0
44 days,2715.0,134.0,1224.0
45 days,2560.0,158.0,1801.0
46 days,2483.0,151.0,0.0
47 days,2274.0,136.0,4500.0
48 days,2089.0,133.0,2803.0
49 days,1997.0,121.0,2773.0
50 days,1634.0,117.0,2497.0
51 days,1972.0,122.0,3156.0
52 days,1837.0,125.0,6482.0
53 days,1657.0,117.0,1947.0
54 days,1617.0,111.0,2089.0
55 days,1574.0,98.0,2146.0
56 days,1512.0,94.0,1804.0
57 days,1606.0,92.0,2296.0
58 days,1499.0,89.0,1835.0
59 days,1374.0,73.0,1923.0
60 days,1343.0,87.0,1036.0
61 days,1294.0,91.0,2250.0
62 days,1297.0,88.0,1692.0
63 days,1194.0,94.0,2148.0
