Dates,Infected,Dead,Recovered
1 days,6,1,0
2 days,9,1,0
3 days,13,2,0
4 days,14,3,0
5 days,22,4,0
6 days,32,4,16
7 days,61,5,16
8 days,98,6,24
9 days,151,8,25
10 days,244,9,42
11 days,371,11,73
12 days,581,11,56
13 days,648,13,126
14 days,671,14,149
15 days,804,16,207
16 days,967,18,372
17 days,1018,29,465
18 days,805,38,494
19 days,740,49,354
20 days,811,53,275
21 days,971,64,188
22 days,1107,74,76
23 days,1243,86,0
24 days,1288,98,544
25 days,1209,113,544
26 days,1147,126,810
27 days,1141,137,266
28 days,1139,144,373
29 days,1158,148,452
30 days,1083,140,749
31 days,1077,134,740
32 days,1135,126,395
33 days,1400,126,426
34 days,1793,131,565
35 days,2119,141,842
36 days,2507,148,740
37 days,2797,147,685
38 days,2968,135,645
39 days,3054,126,926
40 days,3066,127,992
41 days,3095,132,1027
42 days,2991,134,933
43 days,2859,132,1093
44 days,2717,139,1421
45 days,2586,148,1008
46 days,2439,148,2100
47 days,2282,140,2434
48 days,2120,130,3359
49 days,1907,124,2691
50 days,1868,120,2809
51 days,1814,121,4045
52 days,1822,121,3862
53 days,1704,118,3506
54 days,1616,109,2061
55 days,1568,101,2013
56 days,1564,95,2082
57 days,1539,92,1978
58 days,1493,85,2018
59 days,1405,83,1598
60 days,1337,84,1736
61 days,1311,89,1659
62 days,1262,91,2030
63 days,1174,91,1857
64 days,1131,92,1878
65 days,1111,86,1693
66 days,1152,76,1605
67 days,1093,77,1445
68 days,1085,76,1415
69 days,1059,82,1378
70 days,1056,74,1390
71 days,1021,71,1293
72 days,930,66,1186
73 days,928,58,1106
74 days,1000,62,1020
75 days,1174,61,1042
76 days,1409,72,1055
77 days,1496,70,1122
78 days,1574,67,1121
79 days,1523,57,1159
80 days,1489,51,1133
81 days,1532,48,1195
82 days,1516,48,1098
83 days,1707,48,1095
