Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,4.0,0.0,0.0
3 days,2.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,6.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,7.0,0.0,0.0
8 days,6.0,0.0,0.0
9 days,3.0,2.0,0.0
10 days,0.0,0.0,0.0
11 days,5.0,1.0,0.0
12 days,14.0,1.0,0.0
13 days,6.0,2.0,0.0
14 days,0.0,0.0,3.0
15 days,11.0,1.0,0.0
16 days,0.0,0.0,12.0
17 days,0.0,1.0,0.0
18 days,30.0,1.0,9.0
19 days,9.0,1.0,2.0
20 days,6.0,0.0,0.0
21 days,8.0,0.0,0.0
22 days,30.0,1.0,6.0
23 days,10.0,1.0,11.0
24 days,28.0,1.0,0.0
25 days,16.0,4.0,6.0
26 days,6.0,0.0,2.0
27 days,19.0,3.0,6.0
28 days,33.0,3.0,0.0
29 days,50.0,4.0,18.0
30 days,30.0,2.0,28.0
31 days,36.0,7.0,2.0
32 days,76.0,4.0,17.0
33 days,48.0,2.0,9.0
34 days,41.0,0.0,12.0
35 days,83.0,4.0,9.0
36 days,64.0,4.0,18.0
37 days,34.0,2.0,12.0
38 days,44.0,2.0,20.0
39 days,48.0,0.0,24.0
40 days,58.0,2.0,33.0
41 days,83.0,5.0,20.0
42 days,70.0,3.0,65.0
43 days,91.0,1.0,29.0
44 days,80.0,4.0,79.0
45 days,30.0,0.0,44.0
46 days,47.0,1.0,54.0
47 days,39.0,2.0,51.0
48 days,34.0,4.0,39.0
49 days,26.0,2.0,77.0
50 days,22.0,0.0,49.0
51 days,15.0,1.0,46.0
52 days,19.0,1.0,44.0
53 days,48.0,1.0,50.0
54 days,31.0,1.0,47.0
55 days,26.0,0.0,56.0
56 days,35.0,0.0,34.0
57 days,28.0,1.0,53.0
58 days,29.0,0.0,50.0
59 days,46.0,0.0,25.0
60 days,31.0,3.0,33.0
61 days,55.0,0.0,20.0
62 days,57.0,1.0,39.0
63 days,27.0,1.0,23.0
64 days,81.0,2.0,33.0
65 days,75.0,2.0,27.0
66 days,82.0,1.0,29.0
67 days,68.0,1.0,39.0
68 days,66.0,1.0,59.0
69 days,77.0,2.0,17.0
70 days,50.0,1.0,54.0
71 days,85.0,4.0,27.0
72 days,49.0,0.0,31.0
73 days,63.0,0.0,24.0
74 days,60.0,2.0,35.0
75 days,76.0,3.0,41.0
76 days,88.0,2.0,32.0
77 days,51.0,1.0,56.0
78 days,95.0,2.0,113.0
79 days,119.0,3.0,63.0
