Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,2,0,0
4 days,2,0,0
5 days,3,0,0
6 days,4,0,0
7 days,6,0,0
8 days,6,0,0
9 days,5,1,0
10 days,3,1,0
11 days,3,1,0
12 days,6,1,0
13 days,8,1,0
14 days,7,1,1
15 days,6,1,1
16 days,4,0,5
17 days,4,1,4
18 days,10,1,7
19 days,13,1,4
20 days,15,1,4
21 days,8,0,1
22 days,15,0,2
23 days,16,1,6
24 days,23,1,6
25 days,18,2,6
26 days,17,2,3
27 days,14,2,5
28 days,19,2,3
29 days,34,3,8
30 days,38,3,15
31 days,39,4,16
32 days,47,4,16
33 days,53,4,9
34 days,55,2,13
35 days,57,2,10
36 days,63,3,13
37 days,60,3,13
38 days,47,3,17
39 days,42,1,19
40 days,50,1,26
41 days,63,2,26
42 days,70,3,39
43 days,81,3,38
44 days,80,3,58
45 days,67,2,51
46 days,52,2,59
47 days,39,1,50
48 days,40,2,48
49 days,33,3,56
50 days,27,2,55
51 days,21,1,57
52 days,19,1,46
53 days,27,1,47
54 days,33,1,47
55 days,35,1,51
56 days,31,0,46
57 days,30,0,48
58 days,31,0,46
59 days,34,0,43
60 days,35,1,36
61 days,44,1,26
62 days,48,1,31
63 days,46,1,27
64 days,55,1,32
65 days,61,2,28
66 days,79,2,30
67 days,75,1,32
68 days,72,1,42
69 days,70,1,38
70 days,64,1,43
71 days,71,2,33
