Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,2,0,0
5 days,2,0,0
6 days,5,0,0
7 days,4,0,0
8 days,4,0,0
9 days,1,0,0
10 days,5,0,0
11 days,8,0,0
12 days,7,0,0
13 days,19,0,0
14 days,29,0,0
15 days,29,0,0
16 days,26,0,0
17 days,31,0,2
18 days,54,0,2
19 days,129,0,2
20 days,153,0,0
21 days,164,0,0
22 days,116,0,0
23 days,147,1,0
24 days,181,1,0
25 days,219,2,0
26 days,231,4,0
27 days,264,5,0
28 days,284,9,0
29 days,265,9,0
30 days,263,11,0
31 days,273,12,0
32 days,277,13,0
33 days,313,15,0
34 days,346,16,0
35 days,386,17,7
36 days,382,20,7
37 days,364,18,7
38 days,368,24,0
39 days,360,26,0
40 days,403,30,0
41 days,793,26,0
42 days,951,28,0
43 days,1027,24,0
44 days,853,26,0
45 days,850,29,0
46 days,964,37,17
47 days,875,40,17
48 days,834,41,17
49 days,737,42,0
50 days,660,41,0
51 days,557,52,0
52 days,427,53,3052
53 days,473,53,3052
54 days,652,36,3052
55 days,715,95,0
56 days,630,98,0
57 days,552,98,0
58 days,488,29,0
59 days,439,32,0
60 days,330,34,1384
61 days,321,43,1384
62 days,319,35,1384
63 days,308,32,0
64 days,298,24,0
65 days,313,18,0
66 days,269,18,0
