Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,1.0,0.0,1.0
7 days,1.0,0.0,0.0
8 days,3.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,2.0,0.0,0.0
12 days,3.0,0.0,0.0
13 days,5.0,0.0,0.0
14 days,17.0,0.0,1.0
15 days,6.0,0.0,0.0
16 days,18.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,14.0,0.0,2.0
19 days,4.0,0.0,0.0
20 days,21.0,0.0,0.0
21 days,26.0,0.0,0.0
22 days,29.0,0.0,0.0
23 days,58.0,0.0,0.0
24 days,5.0,0.0,0.0
25 days,32.0,0.0,7.0
26 days,54.0,0.0,0.0
27 days,123.0,0.0,0.0
28 days,102.0,0.0,3.0
29 days,183.0,1.0,22.0
30 days,171.0,0.0,1.0
31 days,188.0,0.0,0.0
32 days,167.0,2.0,16.0
33 days,1131.0,2.0,5.0
34 days,324.0,3.0,10.0
35 days,342.0,4.0,11.0
36 days,584.0,0.0,10.0
37 days,628.0,3.0,43.0
38 days,448.0,1.0,29.0
39 days,663.0,4.0,63.0
40 days,734.0,6.0,17.0
41 days,765.0,10.0,97.0
42 days,571.0,4.0,65.0
43 days,423.0,4.0,24.0
44 days,579.0,5.0,50.0
45 days,474.0,8.0,108.0
46 days,344.0,8.0,185.0
47 days,156.0,8.0,31.0
48 days,564.0,13.0,210.0
49 days,440.0,9.0,172.0
50 days,335.0,6.0,158.0
51 days,402.0,2.0,286.0
52 days,441.0,13.0,228.0
53 days,460.0,7.0,340.0
54 days,455.0,7.0,368.0
55 days,257.0,12.0,255.0
56 days,224.0,9.0,308.0
57 days,283.0,13.0,330.0
58 days,226.0,8.0,298.0
59 days,222.0,5.0,295.0
60 days,229.0,7.0,458.0
61 days,556.0,5.0,708.0
