Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,1,0,0
8 days,2,0,0
9 days,2,0,0
10 days,2,0,0
11 days,2,0,0
12 days,2,0,0
13 days,3,0,0
14 days,8,0,0
15 days,9,0,0
16 days,14,0,0
17 days,8,0,0
18 days,11,0,1
19 days,6,0,1
20 days,13,0,1
21 days,17,0,0
22 days,25,0,0
23 days,38,0,0
24 days,31,0,0
25 days,32,0,2
26 days,30,0,2
27 days,70,0,2
28 days,93,0,1
29 days,136,0,8
30 days,152,0,9
31 days,181,0,8
32 days,175,1,6
33 days,495,1,7
34 days,541,2,10
35 days,599,3,9
36 days,417,2,10
37 days,518,2,21
38 days,553,1,27
39 days,580,3,45
40 days,615,4,36
41 days,721,7,59
42 days,690,7,60
43 days,586,6,62
44 days,524,4,46
45 days,492,6,61
46 days,466,7,114
47 days,325,8,108
48 days,355,10,142
49 days,387,10,138
50 days,446,9,180
51 days,392,6,205
52 days,393,7,224
53 days,434,7,285
54 days,452,9,312
55 days,391,9,321
56 days,312,9,310
57 days,255,11,298
58 days,244,10,312
59 days,244,9,308
60 days,226,7,350
61 days,336,6,487
62 days,363,5,521
63 days,372,3,499
64 days,267,3,407
65 days,213,3,373
66 days,166,3,399
67 days,143,4,437
68 days,130,5,501
69 days,130,6,454
70 days,124,5,470
71 days,117,5,453
72 days,87,3,396
73 days,48,3,303
74 days,35,3,291
