Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,17.0,1.0,0.0
22 days,42.0,1.0,1.0
23 days,93.0,1.0,0.0
24 days,74.0,4.0,0.0
25 days,93.0,3.0,0.0
26 days,131.0,2.0,2.0
27 days,202.0,5.0,42.0
28 days,233.0,4.0,1.0
29 days,240.0,8.0,0.0
30 days,566.0,5.0,37.0
31 days,342.0,18.0,66.0
32 days,466.0,27.0,11.0
33 days,587.0,28.0,116.0
34 days,769.0,41.0,138.0
35 days,778.0,49.0,109.0
36 days,1247.0,36.0,66.0
37 days,1492.0,133.0,33.0
38 days,1797.0,97.0,102.0
39 days,977.0,168.0,0.0
40 days,2313.0,196.0,321.0
41 days,0.0,0.0,0.0
42 days,5198.0,439.0,394.0
43 days,3497.0,175.0,527.0
44 days,3590.0,368.0,369.0
45 days,3233.0,349.0,414.0
46 days,3526.0,345.0,192.0
47 days,4207.0,475.0,1084.0
48 days,5322.0,427.0,415.0
49 days,5986.0,627.0,0.0
50 days,6557.0,793.0,1632.0
51 days,5560.0,651.0,952.0
52 days,4789.0,601.0,0.0
53 days,5249.0,743.0,1302.0
54 days,5210.0,683.0,1036.0
55 days,6203.0,712.0,999.0
56 days,5909.0,919.0,589.0
57 days,5974.0,889.0,1434.0
58 days,5217.0,756.0,646.0
59 days,4050.0,812.0,1590.0
60 days,4053.0,837.0,1109.0
61 days,4782.0,727.0,1118.0
62 days,4668.0,760.0,1431.0
63 days,4585.0,766.0,1480.0
64 days,4805.0,681.0,1238.0
65 days,4316.0,525.0,819.0
66 days,3599.0,636.0,1022.0
67 days,3039.0,604.0,1555.0
68 days,3836.0,542.0,2099.0
69 days,4204.0,610.0,1979.0
70 days,3951.0,570.0,1985.0
71 days,4694.0,619.0,2079.0
72 days,4092.0,431.0,1677.0
73 days,3153.0,566.0,1224.0
74 days,2972.0,602.0,1695.0
75 days,2667.0,578.0,962.0
76 days,3786.0,525.0,2072.0
77 days,3493.0,575.0,2563.0
78 days,3491.0,482.0,2200.0
79 days,3047.0,433.0,2128.0
80 days,2256.0,454.0,1822.0
81 days,2729.0,534.0,2723.0
82 days,3370.0,437.0,2943.0
83 days,2646.0,464.0,3033.0
84 days,3021.0,420.0,2922.0
85 days,2357.0,415.0,2622.0
86 days,2324.0,260.0,1808.0
87 days,1739.0,333.0,1696.0
88 days,2091.0,382.0,2317.0
89 days,2086.0,323.0,2311.0
90 days,1872.0,285.0,4693.0
91 days,1965.0,269.0,2304.0
92 days,1900.0,474.0,1665.0
93 days,1389.0,174.0,1740.0
94 days,1221.0,195.0,1225.0
95 days,1075.0,236.0,2352.0
96 days,1444.0,369.0,8014.0
97 days,1401.0,274.0,3031.0
98 days,1327.0,243.0,2747.0
99 days,1083.0,194.0,4008.0
100 days,802.0,165.0,2155.0
101 days,744.0,179.0,1401.0
102 days,1402.0,172.0,2452.0
103 days,888.0,195.0,3502.0
