Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,6,0,0
22 days,20,1,0
23 days,51,1,0
24 days,70,2,0
25 days,87,3,0
26 days,99,3,1
27 days,142,3,15
28 days,189,4,15
29 days,225,6,14
30 days,346,6,13
31 days,383,10,34
32 days,458,17,38
33 days,465,24,64
34 days,607,32,88
35 days,711,39,121
36 days,931,42,104
37 days,1172,73,69
38 days,1512,89,67
39 days,1422,133,45
40 days,1696,154,141
41 days,1097,121,107
42 days,2504,212,238
43 days,2898,205,307
44 days,4095,327,430
45 days,3440,297,437
46 days,3450,354,325
47 days,3655,390,563
48 days,4352,416,564
49 days,5172,510,500
50 days,5955,616,682
51 days,6034,690,861
52 days,5635,682,861
53 days,5199,665,751
54 days,5083,676,779
55 days,5554,713,1112
56 days,5774,771,875
57 days,6029,840,1007
58 days,5700,855,890
59 days,5080,819,1223
60 days,4440,802,1115
61 days,4295,792,1272
62 days,4501,775,1219
63 days,4678,751,1343
64 days,4686,736,1383
65 days,4569,657,1179
66 days,4240,614,1026
67 days,3651,588,1132
68 days,3491,594,1559
69 days,3693,585,1878
70 days,3997,574,2021
71 days,4283,600,2014
72 days,4246,540,1914
73 days,3980,539,1660
74 days,3406,533,1532
75 days,2931,582,1294
76 days,3142,568,1576
77 days,3315,559,1866
78 days,3590,527,2278
79 days,3344,497,2297
80 days,2931,456,2050
81 days,2677,474,2224
82 days,2785,475,2496
