Dates,Infected,Dead,Recovered
0 days,2.0,0.0,1.0
1 days,0.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,4.0,0.0,0.0
5 days,4.0,0.0,0.0
6 days,5.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,2.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,3.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,1.0,0.0,0.0
15 days,0.0,0.0,3.0
16 days,0.0,0.0,5.0
17 days,2.0,0.0,0.0
18 days,0.0,1.0,0.0
19 days,1.0,0.0,0.0
20 days,14.0,0.0,3.0
21 days,16.0,0.0,0.0
22 days,7.0,0.0,0.0
23 days,8.0,0.0,1.0
24 days,10.0,0.0,5.0
25 days,10.0,0.0,0.0
26 days,11.0,0.0,4.0
27 days,17.0,0.0,0.0
28 days,25.0,0.0,0.0
29 days,12.0,0.0,0.0
30 days,11.0,0.0,0.0
31 days,19.0,1.0,0.0
32 days,25.0,2.0,0.0
33 days,14.0,0.0,0.0
34 days,13.0,1.0,10.0
35 days,15.0,1.0,0.0
36 days,18.0,0.0,0.0
37 days,19.0,0.0,11.0
38 days,38.0,0.0,0.0
39 days,29.0,0.0,0.0
40 days,60.0,0.0,3.0
41 days,41.0,0.0,30.0
42 days,41.0,0.0,0.0
43 days,9.0,4.0,0.0
44 days,70.0,0.0,25.0
45 days,58.0,5.0,17.0
46 days,0.0,1.0,0.0
47 days,62.0,3.0,0.0
48 days,72.0,3.0,0.0
49 days,66.0,0.0,0.0
50 days,0.0,5.0,26.0
51 days,39.0,2.0,0.0
52 days,11.0,0.0,0.0
53 days,35.0,0.0,6.0
54 days,39.0,4.0,41.0
55 days,44.0,2.0,41.0
56 days,94.0,6.0,3.0
57 days,27.0,1.0,0.0
58 days,65.0,1.0,50.0
59 days,114.0,2.0,25.0
60 days,80.0,2.0,49.0
61 days,81.0,2.0,13.0
62 days,225.0,3.0,32.0
63 days,173.0,2.0,20.0
64 days,0.0,0.0,0.0
65 days,87.0,2.0,0.0
66 days,225.0,1.0,48.0
67 days,317.0,5.0,0.0
68 days,122.0,1.0,42.0
69 days,522.0,14.0,0.0
70 days,0.0,0.0,0.0
71 days,515.0,8.0,61.0
72 days,252.0,7.0,17.0
73 days,351.0,1.0,30.0
74 days,410.0,1.0,10.0
75 days,863.0,5.0,53.0
76 days,475.0,0.0,77.0
77 days,743.0,9.0,0.0
78 days,622.0,15.0,22.0
79 days,275.0,20.0,15.0
80 days,455.0,3.0,54.0
81 days,526.0,32.0,48.0
82 days,1161.0,12.0,34.0
83 days,509.0,32.0,134.0
84 days,501.0,14.0,90.0
85 days,0.0,0.0,0.0
86 days,338.0,27.0,80.0
87 days,377.0,18.0,117.0
