Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,1,0,0
4 days,2,0,0
5 days,3,0,0
6 days,4,0,0
7 days,3,0,0
8 days,2,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,1,0,0
14 days,1,0,0
15 days,0,0,1
16 days,0,0,3
17 days,1,0,3
18 days,1,0,2
19 days,1,0,0
20 days,5,0,1
21 days,10,0,1
22 days,12,0,1
23 days,10,0,0
24 days,8,0,2
25 days,9,0,2
26 days,10,0,3
27 days,13,0,1
28 days,18,0,1
29 days,18,0,0
30 days,16,0,0
31 days,14,0,0
32 days,18,1,0
33 days,19,1,0
34 days,17,1,3
35 days,14,1,3
36 days,15,1,3
37 days,17,0,4
38 days,25,0,4
39 days,29,0,4
40 days,42,0,1
41 days,43,0,11
42 days,47,0,11
43 days,30,1,10
44 days,40,1,8
45 days,46,3,14
46 days,43,2,14
47 days,40,3,6
48 days,45,2,0
49 days,67,2,0
50 days,46,3,9
51 days,35,2,9
52 days,17,2,9
53 days,28,1,2
54 days,28,1,16
55 days,39,2,29
56 days,59,4,28
57 days,55,3,15
58 days,62,3,18
59 days,69,1,25
60 days,86,2,41
61 days,92,2,29
62 days,129,2,31
63 days,160,2,22
64 days,133,2,17
65 days,87,1,7
66 days,104,1,16
67 days,210,3,16
68 days,221,2,30
69 days,320,7,14
70 days,215,5,14
71 days,346,7,20
72 days,256,5,26
73 days,373,5,36
74 days,338,3,19
75 days,541,2,31
76 days,583,2,47
77 days,694,5,43
78 days,613,8,33
79 days,547,15,12
80 days,451,13,30
81 days,419,18,39
82 days,714,16,45
83 days,732,25,72
84 days,724,19,86
85 days,337,15,75
86 days,280,14,57
87 days,238,15,66
