Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,1.0
11 days,0.0,0.0,0.0
12 days,7.0,0.0,0.0
13 days,9.0,0.0,0.0
14 days,17.0,0.0,0.0
15 days,18.0,0.0,0.0
16 days,17.0,0.0,0.0
17 days,16.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,27.0,0.0,0.0
20 days,15.0,0.0,0.0
21 days,27.0,0.0,0.0
22 days,18.0,0.0,0.0
23 days,40.0,0.0,0.0
24 days,23.0,1.0,17.0
25 days,11.0,0.0,0.0
26 days,13.0,2.0,0.0
27 days,9.0,2.0,8.0
28 days,6.0,0.0,4.0
29 days,4.0,0.0,6.0
30 days,21.0,0.0,9.0
31 days,11.0,0.0,13.0
32 days,13.0,0.0,16.0
33 days,22.0,0.0,36.0
34 days,4.0,1.0,16.0
35 days,4.0,0.0,12.0
36 days,5.0,0.0,12.0
37 days,14.0,1.0,11.0
38 days,0.0,0.0,9.0
39 days,9.0,0.0,7.0
40 days,8.0,0.0,24.0
41 days,2.0,0.0,14.0
42 days,6.0,0.0,20.0
43 days,4.0,0.0,15.0
44 days,1.0,0.0,9.0
45 days,5.0,0.0,6.0
46 days,6.0,0.0,4.0
47 days,4.0,0.0,7.0
48 days,8.0,0.0,6.0
49 days,3.0,0.0,15.0
50 days,7.0,0.0,18.0
