Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,2,0,0
12 days,5,0,0
13 days,11,0,0
14 days,15,0,0
15 days,17,0,0
16 days,17,0,0
17 days,11,0,0
18 days,14,0,0
19 days,14,0,0
20 days,23,0,0
21 days,20,0,0
22 days,28,0,0
23 days,27,0,6
24 days,25,0,6
25 days,16,1,6
26 days,11,1,3
27 days,9,1,4
28 days,6,1,6
29 days,10,0,6
30 days,12,0,9
31 days,15,0,13
32 days,15,0,22
33 days,13,0,23
34 days,10,0,21
35 days,4,0,13
36 days,8,0,12
37 days,6,0,11
38 days,8,0,9
39 days,6,0,13
40 days,6,0,15
41 days,5,0,19
42 days,4,0,16
43 days,4,0,15
44 days,3,0,10
45 days,4,0,6
46 days,5,0,6
47 days,6,0,6
48 days,5,0,9
49 days,6,0,13
50 days,4,0,12
51 days,4,0,10
52 days,3,0,6
53 days,3,0,6
54 days,3,0,5
55 days,2,0,5
56 days,1,0,6
57 days,1,0,7
58 days,3,0,5
59 days,3,0,4
60 days,3,0,2
61 days,2,0,2
62 days,4,0,3
63 days,4,0,3
64 days,10,0,4
65 days,12,0,3
66 days,16,0,3
67 days,15,0,3
68 days,18,0,2
69 days,18,0,1
70 days,14,0,1
