Dates,Infected,Dead,Recovered
1 days,3,0,0
2 days,2,0,0
3 days,9,0,0
4 days,9,0,0
5 days,11,0,0
6 days,5,0,0
7 days,6,0,0
8 days,5,0,0
9 days,4,0,0
10 days,6,0,0
11 days,7,0,0
12 days,16,0,1
13 days,26,0,1
14 days,49,0,5
15 days,58,0,6
16 days,51,0,6
17 days,38,0,3
18 days,32,1,2
19 days,44,1,2
20 days,40,1,2
21 days,50,1,3
22 days,50,1,5
23 days,66,0,6
24 days,55,0,5
25 days,48,0,4
26 days,40,1,5
27 days,38,1,4
28 days,46,1,9
29 days,57,1,13
30 days,93,1,25
31 days,122,1,41
32 days,115,2,47
33 days,104,2,46
34 days,105,1,48
35 days,107,0,46
36 days,91,0,41
37 days,102,1,33
38 days,127,1,37
39 days,153,1,38
40 days,146,0,38
41 days,162,2,38
42 days,155,2,44
43 days,143,2,41
44 days,118,0,39
45 days,142,0,43
46 days,140,0,46
47 days,189,0,49
48 days,190,0,49
49 days,240,0,55
50 days,173,1,73
51 days,151,1,84
52 days,116,1,98
53 days,167,1,108
54 days,176,0,115
55 days,210,1,117
56 days,184,0,123
57 days,171,0,141
58 days,124,0,148
59 days,101,0,149
60 days,109,0,156
