Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,4.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,8.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,9.0,0.0,0.0
12 days,3.0,0.0,1.0
13 days,3.0,1.0,0.0
14 days,0.0,0.0,0.0
15 days,7.0,0.0,0.0
16 days,4.0,0.0,0.0
17 days,8.0,0.0,0.0
18 days,9.0,0.0,0.0
19 days,22.0,0.0,2.0
20 days,29.0,2.0,1.0
21 days,12.0,1.0,0.0
22 days,4.0,0.0,0.0
23 days,16.0,0.0,0.0
24 days,16.0,2.0,0.0
25 days,14.0,0.0,3.0
26 days,7.0,0.0,2.0
27 days,5.0,1.0,3.0
28 days,5.0,0.0,10.0
29 days,2.0,0.0,2.0
30 days,6.0,1.0,1.0
31 days,11.0,1.0,15.0
32 days,8.0,0.0,1.0
33 days,9.0,1.0,12.0
34 days,9.0,1.0,0.0
35 days,12.0,0.0,0.0
36 days,16.0,1.0,7.0
37 days,8.0,2.0,7.0
38 days,11.0,0.0,2.0
39 days,15.0,0.0,5.0
40 days,7.0,0.0,0.0
41 days,17.0,0.0,15.0
42 days,16.0,0.0,5.0
43 days,7.0,0.0,4.0
44 days,12.0,0.0,8.0
45 days,8.0,0.0,8.0
46 days,11.0,0.0,10.0
47 days,10.0,1.0,5.0
48 days,12.0,2.0,15.0
49 days,15.0,4.0,6.0
50 days,24.0,1.0,2.0
51 days,30.0,2.0,15.0
52 days,25.0,0.0,6.0
53 days,45.0,0.0,9.0
54 days,47.0,2.0,8.0
55 days,25.0,3.0,7.0
56 days,14.0,0.0,5.0
57 days,28.0,1.0,5.0
58 days,23.0,2.0,32.0
59 days,28.0,1.0,12.0
60 days,15.0,3.0,8.0
61 days,22.0,4.0,22.0
