Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,0,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,3,0,0
9 days,3,0,0
10 days,6,0,0
11 days,4,0,0
12 days,5,0,0
13 days,2,0,0
14 days,3,0,0
15 days,4,0,0
16 days,6,0,0
17 days,7,0,0
18 days,13,0,1
19 days,20,1,1
20 days,21,1,1
21 days,15,1,0
22 days,11,0,0
23 days,12,1,0
24 days,15,1,1
25 days,12,1,2
26 days,9,0,3
27 days,6,0,5
28 days,4,0,5
29 days,4,0,4
30 days,6,1,6
31 days,8,1,6
32 days,9,1,9
33 days,9,1,4
34 days,10,1,4
35 days,12,1,2
36 days,12,1,5
37 days,12,1,5
38 days,11,1,5
39 days,11,0,2
40 days,13,0,7
41 days,13,0,7
42 days,13,0,8
43 days,12,0,6
44 days,9,0,7
45 days,10,0,9
46 days,10,0,8
47 days,11,1,10
48 days,12,2,9
49 days,17,2,8
50 days,23,2,8
51 days,26,1,8
52 days,33,1,10
53 days,39,1,8
54 days,39,2,8
55 days,29,2,7
56 days,22,1,6
57 days,22,1,14
58 days,26,1,16
59 days,22,2,17
60 days,22,3,14
