Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,7.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,1.0,0.0,0.0
12 days,3.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,1.0,0.0,1.0
15 days,0.0,0.0,0.0
16 days,1.0,0.0,2.0
17 days,2.0,0.0,0.0
18 days,1.0,0.0,0.0
19 days,0.0,0.0,4.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,2.0
23 days,1.0,0.0,0.0
24 days,1.0,0.0,1.0
25 days,1.0,0.0,2.0
26 days,0.0,0.0,0.0
27 days,73.0,1.0,4.0
28 days,100.0,1.0,0.0
29 days,229.0,0.0,0.0
30 days,169.0,4.0,2.0
31 days,231.0,2.0,0.0
32 days,144.0,2.0,4.0
33 days,284.0,2.0,0.0
34 days,505.0,1.0,0.0
35 days,571.0,0.0,0.0
36 days,813.0,3.0,5.0
37 days,586.0,1.0,3.0
38 days,599.0,11.0,0.0
39 days,851.0,0.0,0.0
40 days,435.0,7.0,11.0
41 days,467.0,0.0,0.0
42 days,505.0,7.0,77.0
43 days,448.0,2.0,0.0
44 days,273.0,6.0,0.0
45 days,164.0,3.0,0.0
46 days,35.0,1.0,129.0
47 days,242.0,6.0,41.0
48 days,114.0,6.0,45.0
49 days,110.0,0.0,177.0
50 days,107.0,6.0,0.0
51 days,76.0,3.0,0.0
52 days,74.0,0.0,627.0
53 days,84.0,6.0,270.0
54 days,93.0,3.0,133.0
55 days,152.0,7.0,0.0
56 days,87.0,3.0,0.0
57 days,147.0,8.0,0.0
58 days,162.0,9.0,1369.0
59 days,0.0,0.0,0.0
60 days,76.0,9.0,598.0
61 days,100.0,6.0,223.0
62 days,104.0,5.0,414.0
63 days,91.0,8.0,384.0
64 days,146.0,5.0,283.0
65 days,105.0,8.0,222.0
66 days,78.0,6.0,195.0
67 days,125.0,4.0,180.0
68 days,101.0,3.0,159.0
69 days,89.0,4.0,261.0
70 days,86.0,5.0,193.0
71 days,94.0,3.0,304.0
72 days,81.0,6.0,138.0
73 days,47.0,3.0,135.0
74 days,47.0,6.0,96.0
75 days,53.0,8.0,82.0
76 days,39.0,4.0,197.0
77 days,27.0,4.0,144.0
78 days,30.0,3.0,126.0
79 days,32.0,3.0,125.0
80 days,25.0,3.0,79.0
81 days,27.0,5.0,87.0
82 days,27.0,3.0,82.0
83 days,22.0,4.0,141.0
84 days,22.0,1.0,72.0
85 days,18.0,2.0,108.0
86 days,8.0,2.0,105.0
87 days,13.0,2.0,72.0
88 days,9.0,1.0,99.0
89 days,11.0,1.0,64.0
90 days,14.0,2.0,224.0
91 days,10.0,0.0,134.0
92 days,10.0,2.0,82.0
93 days,10.0,1.0,47.0
94 days,14.0,1.0,90.0
95 days,9.0,2.0,68.0
96 days,4.0,1.0,137.0
97 days,9.0,1.0,13.0
98 days,6.0,2.0,51.0
99 days,13.0,0.0,60.0
100 days,8.0,2.0,34.0
101 days,3.0,2.0,66.0
102 days,2.0,1.0,50.0
103 days,4.0,1.0,86.0
104 days,12.0,0.0,65.0
105 days,18.0,0.0,84.0
106 days,34.0,0.0,42.0
107 days,35.0,0.0,22.0
108 days,27.0,2.0,38.0
109 days,26.0,1.0,25.0
110 days,29.0,1.0,67.0
