Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,0,0,0
5 days,0,0,0
6 days,2,0,0
7 days,3,0,0
8 days,4,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,3,0,0
13 days,3,0,0
14 days,2,0,0
15 days,1,0,1
16 days,1,0,1
17 days,1,0,1
18 days,1,0,1
19 days,0,0,1
20 days,0,0,1
21 days,0,0,1
22 days,0,0,1
23 days,1,0,1
24 days,1,0,1
25 days,1,0,1
26 days,25,0,2
27 days,58,1,1
28 days,134,1,1
29 days,166,2,1
30 days,210,2,1
31 days,181,3,2
32 days,220,2,1
33 days,311,2,1
34 days,453,1,0
35 days,630,1,2
36 days,657,1,3
37 days,666,5,3
38 days,679,4,1
39 days,628,6,4
40 days,584,2,4
41 days,469,5,29
42 days,473,3,26
43 days,409,5,26
44 days,295,4,0
45 days,157,3,43
46 days,147,3,57
47 days,130,4,72
48 days,155,4,88
49 days,110,4,74
50 days,98,3,59
51 days,86,3,209
52 days,78,3,299
53 days,84,3,343
54 days,110,5,134
55 days,111,4,44
56 days,129,6,0
57 days,132,7,456
58 days,103,6,456
59 days,79,6,656
60 days,59,5,274
61 days,93,7,412
62 days,98,6,340
63 days,114,6,360
64 days,114,7,296
65 days,110,6,233
66 days,103,6,199
67 days,101,4,178
68 days,105,4,200
69 days,92,4,204
70 days,90,4,253
71 days,87,5,212
72 days,74,4,192
73 days,58,5,123
74 days,49,6,104
75 days,46,6,125
76 days,40,5,141
77 days,32,4,156
78 days,30,3,132
79 days,29,3,110
80 days,28,4,97
81 days,26,4,83
82 days,25,4,103
83 days,24,3,98
84 days,21,2,107
85 days,16,2,95
86 days,13,2,95
87 days,10,2,92
88 days,11,1,78
89 days,11,1,129
90 days,12,1,141
91 days,11,1,147
92 days,10,1,88
93 days,11,1,73
94 days,11,1,68
95 days,9,1,98
96 days,7,1,73
97 days,6,1,67
98 days,9,1,41
99 days,9,1,48
100 days,8,1,53
101 days,4,2,50
102 days,3,1,67
103 days,6,1,67
104 days,11,0,78
105 days,21,0,64
106 days,29,0,49
107 days,32,1,34
108 days,29,1,28
109 days,27,1,43
