Dates,Infected,Dead,Recovered
1 days,9,0,0
2 days,14,0,0
3 days,11,0,0
4 days,6,0,0
5 days,1,0,0
6 days,4,0,0
7 days,4,0,0
8 days,4,0,0
9 days,1,0,0
10 days,1,0,0
11 days,2,0,0
12 days,2,0,0
13 days,2,0,0
14 days,3,0,0
15 days,3,0,0
16 days,5,0,1
17 days,4,0,1
18 days,11,0,1
19 days,11,0,0
20 days,14,0,1
21 days,9,0,1
22 days,10,0,3
23 days,8,0,3
24 days,10,0,3
25 days,11,0,4
26 days,13,0,3
27 days,10,0,3
28 days,5,0,4
29 days,2,0,5
30 days,6,0,7
31 days,11,0,6
32 days,13,0,7
33 days,16,0,6
34 days,14,0,5
35 days,18,0,3
36 days,21,0,4
37 days,25,0,3
38 days,43,0,3
39 days,54,0,4
40 days,71,0,6
41 days,83,0,7
42 days,88,0,4
43 days,100,0,4
44 days,82,0,3
45 days,83,0,6
46 days,100,0,7
47 days,108,0,10
48 days,102,0,9
49 days,67,1,14
50 days,57,1,21
51 days,75,0,25
52 days,101,1,27
53 days,115,1,25
54 days,130,1,27
55 days,112,1,36
56 days,110,2,44
57 days,111,2,46
58 days,135,2,44
59 days,178,1,67
60 days,215,2,71
61 days,225,2,103
62 days,225,2,133
63 days,183,1,173
64 days,222,1,194
65 days,245,1,176
66 days,312,2,142
67 days,293,3,105
68 days,320,4,79
69 days,300,3,115
70 days,395,2,110
71 days,435,1,148
72 days,430,1,145
73 days,468,2,145
74 days,445,2,134
75 days,707,5,116
76 days,693,6,147
77 days,885,9,160
78 days,780,8,178
