Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,4,0,0
4 days,4,0,0
5 days,3,0,0
6 days,9,0,0
7 days,10,0,0
8 days,9,0,0
9 days,5,0,0
10 days,5,0,0
11 days,13,0,0
12 days,12,0,1
13 days,16,0,1
14 days,9,0,1
15 days,7,0,1
16 days,8,0,1
17 days,11,0,2
18 days,10,0,1
19 days,29,1,9
20 days,28,1,8
21 days,41,1,8
22 days,21,0,1
23 days,23,0,1
24 days,23,0,4
25 days,32,0,6
26 days,40,0,11
27 days,30,0,9
28 days,24,0,8
29 days,16,0,8
30 days,20,0,14
31 days,19,0,17
32 days,29,0,14
33 days,26,1,29
34 days,28,1,29
35 days,19,1,40
36 days,21,0,34
37 days,25,0,43
38 days,18,0,30
39 days,17,0,23
40 days,10,0,17
41 days,14,0,24
42 days,16,0,22
43 days,17,0,22
44 days,16,0,29
45 days,13,0,30
46 days,16,1,34
47 days,25,1,24
48 days,25,1,24
