Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,1.0,0.0,0.0
7 days,4.0,0.0,0.0
8 days,2.0,0.0,1.0
9 days,2.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,7.0,0.0,0.0
12 days,9.0,0.0,0.0
13 days,4.0,0.0,0.0
14 days,4.0,0.0,0.0
15 days,15.0,0.0,0.0
16 days,22.0,0.0,0.0
17 days,15.0,0.0,0.0
18 days,25.0,0.0,0.0
19 days,13.0,0.0,0.0
20 days,15.0,0.0,0.0
21 days,41.0,0.0,0.0
22 days,17.0,0.0,0.0
23 days,24.0,0.0,0.0
24 days,23.0,0.0,0.0
25 days,36.0,0.0,0.0
26 days,25.0,0.0,0.0
27 days,42.0,0.0,0.0
28 days,29.0,0.0,0.0
29 days,22.0,0.0,0.0
30 days,48.0,0.0,0.0
31 days,12.0,0.0,0.0
32 days,35.0,1.0,0.0
33 days,16.0,0.0,0.0
34 days,24.0,0.0,0.0
35 days,9.0,0.0,15.0
36 days,6.0,1.0,0.0
37 days,29.0,0.0,0.0
38 days,12.0,1.0,0.0
39 days,23.0,0.0,0.0
40 days,18.0,0.0,0.0
41 days,21.0,2.0,0.0
42 days,4.0,0.0,0.0
43 days,2.0,0.0,0.0
44 days,9.0,0.0,28.0
45 days,9.0,0.0,13.0
46 days,7.0,0.0,31.0
47 days,30.0,0.0,0.0
48 days,15.0,0.0,0.0
49 days,12.0,0.0,0.0
50 days,9.0,4.0,45.0
51 days,13.0,2.0,0.0
52 days,17.0,0.0,0.0
53 days,6.0,1.0,134.0
54 days,20.0,0.0,0.0
55 days,8.0,0.0,0.0
56 days,6.0,1.0,0.0
57 days,18.0,0.0,0.0
58 days,13.0,2.0,81.0
59 days,9.0,0.0,0.0
60 days,12.0,1.0,0.0
61 days,1.0,0.0,0.0
62 days,8.0,0.0,0.0
63 days,17.0,0.0,0.0
64 days,0.0,1.0,0.0
65 days,4.0,0.0,116.0
66 days,9.0,1.0,0.0
67 days,19.0,0.0,0.0
68 days,2.0,0.0,0.0
69 days,9.0,0.0,0.0
70 days,7.0,0.0,0.0
71 days,4.0,0.0,163.0
72 days,1.0,1.0,0.0
