Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,2,0,0
7 days,2,0,0
8 days,3,0,0
9 days,1,0,0
10 days,3,0,0
11 days,5,0,0
12 days,7,0,0
13 days,6,0,0
14 days,8,0,0
15 days,14,0,0
16 days,17,0,0
17 days,21,0,0
18 days,18,0,0
19 days,18,0,0
20 days,23,0,0
21 days,24,0,0
22 days,27,0,0
23 days,21,0,0
24 days,28,0,0
25 days,28,0,0
26 days,34,0,0
27 days,32,0,0
28 days,31,0,0
29 days,33,0,0
30 days,27,0,0
31 days,32,0,0
32 days,21,0,0
33 days,25,0,0
34 days,16,0,5
35 days,13,0,5
36 days,15,0,5
37 days,16,1,0
38 days,21,0,0
39 days,18,0,0
40 days,21,1,0
41 days,14,1,0
42 days,9,1,0
43 days,5,0,9
44 days,7,0,14
45 days,8,0,24
46 days,15,0,15
47 days,17,0,10
48 days,19,0,0
49 days,12,1,15
50 days,11,2,15
51 days,13,2,15
52 days,12,1,45
53 days,14,0,45
54 days,11,0,45
55 days,11,0,0
56 days,11,0,0
57 days,12,1,27
58 days,13,1,27
59 days,11,1,27
60 days,7,0,0
61 days,7,0,0
62 days,9,0,0
63 days,8,0,0
64 days,7,0,39
65 days,4,1,39
66 days,11,0,39
67 days,10,0,0
68 days,10,0,0
69 days,6,0,0
70 days,7,0,54
71 days,4,0,54
