Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,1,0,0
8 days,3,0,0
9 days,4,0,0
10 days,3,0,0
11 days,1,0,0
12 days,1,0,0
13 days,3,0,0
14 days,3,0,0
15 days,5,0,0
16 days,3,0,0
17 days,6,0,0
18 days,10,1,0
19 days,10,1,0
20 days,12,1,0
21 days,11,0,0
22 days,16,0,0
23 days,11,0,0
24 days,9,0,1
25 days,8,0,1
26 days,16,0,1
27 days,14,0,0
28 days,18,0,0
29 days,30,0,1
30 days,35,0,1
31 days,44,0,1
32 days,28,1,4
33 days,34,1,5
34 days,24,1,6
35 days,26,1,3
36 days,23,1,2
37 days,18,1,3
38 days,19,1,2
39 days,14,1,4
40 days,16,2,4
41 days,13,2,4
42 days,14,1,4
43 days,11,1,3
44 days,11,1,3
45 days,9,1,3
46 days,16,0,3
47 days,14,0,2
48 days,20,0,5
49 days,14,0,5
50 days,16,0,4
51 days,8,0,1
52 days,7,0,1
53 days,9,0,2
54 days,10,0,2
55 days,9,0,2
56 days,5,0,5
57 days,3,0,5
58 days,3,0,6
59 days,2,0,3
60 days,3,0,4
61 days,4,0,12
62 days,6,0,11
63 days,7,1,10
64 days,6,1,2
65 days,5,1,2
66 days,4,0,1
67 days,5,0,2
68 days,5,0,2
69 days,4,0,16
70 days,4,0,16
71 days,4,0,17
72 days,4,0,3
73 days,3,0,3
74 days,4,0,2
75 days,15,0,7
76 days,18,0,6
77 days,20,0,9
78 days,20,0,5
79 days,21,0,4
80 days,20,0,0
81 days,11,0,1
